"","county","precinct","white_reg","black_reg","other_reg","test"
"1","ALAMANCE","01",2879,223,103,0
"2","ALAMANCE","02",3031,80,103,1
"3","ALAMANCE","035",3410,408,505,0
"4","ALAMANCE","03C",2014,161,144,0
"5","ALAMANCE","03N",2682,309,376,0
"6","ALAMANCE","03N2",613,3,12,0
"7","ALAMANCE","03S",4191,852,521,0
"8","ALAMANCE","03W",2202,247,163,0
"9","ALAMANCE","04",3136,388,123,0
"10","ALAMANCE","05",2225,111,71,0
"11","ALAMANCE","063",1144,968,354,0
"12","ALAMANCE","064",3034,540,296,0
"13","ALAMANCE","06E",1331,612,167,0
"14","ALAMANCE","06N",1023,968,273,0
"15","ALAMANCE","06S",2071,464,212,0
"16","ALAMANCE","06W",616,266,117,0
"17","ALAMANCE","07",2629,150,115,0
"18","ALAMANCE","08N",2215,213,187,0
"19","ALAMANCE","08S",1258,61,63,0
"20","ALAMANCE","09N",1433,382,110,0
"21","ALAMANCE","09S",3380,508,296,0
"22","ALAMANCE","103",2327,246,176,0
"23","ALAMANCE","10N",2660,505,194,0
"24","ALAMANCE","10S",4597,1523,678,0
"25","ALAMANCE","11",1699,1309,169,0
"26","ALAMANCE","1210",1123,526,168,0
"27","ALAMANCE","124",1361,289,111,0
"28","ALAMANCE","125",1633,242,134,0
"29","ALAMANCE","126",1627,58,71,0
"30","ALAMANCE","127",1333,2254,420,0
"31","ALAMANCE","128",848,857,255,0
"32","ALAMANCE","129",1288,158,107,0
"33","ALAMANCE","12E",760,612,250,0
"34","ALAMANCE","12N",772,2373,367,0
"35","ALAMANCE","12S",523,578,180,0
"36","ALAMANCE","12W",1586,224,144,0
"37","ALAMANCE","13",1842,1051,290,0
"38","ALEXANDER","",7,3,1,0
"39","ALEXANDER","B1",2680,14,85,0
"40","ALEXANDER","B2",3073,27,123,0
"41","ALEXANDER","E",2206,87,31,0
"42","ALEXANDER","G1G2",1501,47,31,0
"43","ALEXANDER","LRSL",1816,46,31,0
"44","ALEXANDER","M",1486,110,78,0
"45","ALEXANDER","S1S2",2574,106,65,0
"46","ALEXANDER","T1T4T5",3412,289,143,0
"47","ALEXANDER","T2T3",2380,277,102,0
"48","ALEXANDER","W",1552,1,55,0
"49","ALLEGHANY","",7,NA,NA,0
"50","ALLEGHANY","01",1122,7,33,0
"51","ALLEGHANY","03A",3263,64,134,0
"52","ALLEGHANY","04",1304,9,40,0
"53","ALLEGHANY","06A",1436,3,48,0
"54","ANSON","",1,1,NA,1
"55","ANSON","ANS",573,420,120,0
"56","ANSON","BURN",983,189,155,0
"57","ANSON","GULL",441,632,153,0
"58","ANSON","LILE",961,1256,294,0
"59","ANSON","MM",308,939,175,0
"60","ANSON","PEAC",1010,162,178,0
"61","ANSON","POLK",571,369,150,0
"62","ANSON","W1",637,1597,388,0
"63","ANSON","W2",637,976,211,0
"64","ANSON","W3",1237,1028,342,0
"65","ANSON","WS",155,110,54,0
"66","ASHE","",4,NA,NA,0
"67","ASHE","02",1183,NA,19,0
"68","ASHE","03",472,NA,6,0
"69","ASHE","04",439,NA,8,0
"70","ASHE","06",497,NA,9,0
"71","ASHE","07",399,NA,9,1
"72","ASHE","08",202,NA,3,0
"73","ASHE","09",3088,34,81,0
"74","ASHE","10",223,NA,7,0
"75","ASHE","11",1745,17,42,0
"76","ASHE","12",629,NA,14,0
"77","ASHE","13",1029,3,28,0
"78","ASHE","14",2072,7,52,0
"79","ASHE","15",781,2,14,0
"80","ASHE","16",1859,13,67,0
"81","ASHE","17",776,2,9,0
"82","ASHE","18",152,NA,2,0
"83","ASHE","20",2931,26,94,0
"84","AVERY","",16,NA,2,0
"85","AVERY","01",902,4,19,0
"86","AVERY","02",2306,66,111,0
"87","AVERY","03",456,NA,19,0
"88","AVERY","04",93,NA,NA,1
"89","AVERY","05",324,NA,8,0
"90","AVERY","06",721,3,13,0
"91","AVERY","07",229,3,3,0
"92","AVERY","08",319,NA,9,0
"93","AVERY","09",329,1,12,0
"94","AVERY","10",673,1,12,0
"95","AVERY","11",468,NA,15,0
"96","AVERY","12",293,NA,1,0
"97","AVERY","13",482,NA,6,0
"98","AVERY","14",917,4,20,0
"99","AVERY","15",732,2,15,0
"100","AVERY","16",1183,NA,32,0
"101","AVERY","17",507,10,13,0
"102","AVERY","18",305,NA,7,0
"103","AVERY","19",301,NA,8,0
"104","BEAUFORT","AUROR",557,547,53,0
"105","BEAUFORT","BEADM",1481,121,56,0
"106","BEAUFORT","BELHV",879,654,42,0
"107","BEAUFORT","BLCK",539,254,34,0
