,county,precinct,white_reg,black_reg,other_reg,test
1,ALAMANCE,1,2879,223,103,0
2,ALAMANCE,2,3031,80,103,1
3,ALAMANCE,35,3410,408,505,0
4,ALAMANCE,03C,2014,161,144,0
5,ALAMANCE,03N,2682,309,376,0
6,ALAMANCE,03N2,613,3,12,1
7,ALAMANCE,03S,4191,852,521,0
8,ALAMANCE,03W,2202,247,163,0
9,ALAMANCE,4,3136,388,123,0
10,ALAMANCE,5,2225,111,71,0
11,ALAMANCE,63,1144,968,354,0
12,ALAMANCE,64,3034,540,296,0
13,ALAMANCE,06E,1331,612,167,0
14,ALAMANCE,06N,1023,968,273,0
15,ALAMANCE,06S,2071,464,212,0
16,ALAMANCE,06W,616,266,117,0
17,ALAMANCE,7,2629,150,115,0
18,ALAMANCE,08N,2215,213,187,0
19,ALAMANCE,08S,1258,61,63,1
20,ALAMANCE,09N,1433,382,110,0
21,ALAMANCE,09S,3380,508,296,1
22,ALAMANCE,103,2327,246,176,0
23,ALAMANCE,10N,2660,505,194,0
24,ALAMANCE,10S,4597,1523,678,0
25,ALAMANCE,11,1699,1309,169,0
26,ALAMANCE,1210,1123,526,168,0
27,ALAMANCE,124,1361,289,111,0
28,ALAMANCE,125,1633,242,134,0
29,ALAMANCE,126,1627,58,71,0
30,ALAMANCE,127,1333,2254,420,0
31,ALAMANCE,128,848,857,255,0
32,ALAMANCE,129,1288,158,107,0
33,ALAMANCE,12E,760,612,250,0
34,ALAMANCE,12N,772,2373,367,1
35,ALAMANCE,12S,523,578,180,0
36,ALAMANCE,12W,1586,224,144,0
37,ALAMANCE,13,1842,1051,290,0
38,ALEXANDER,B1,2680,14,85,0
39,ALEXANDER,B2,3073,27,123,0
40,ALEXANDER,E,2206,87,31,0
41,ALEXANDER,G1G2,3002,94,62,0
42,ALEXANDER,LRSL,3632,92,62,0
43,ALEXANDER,M,1486,110,78,0
44,ALEXANDER,S1S2,5148,212,130,0
45,ALEXANDER,T1T4T5,10236,867,429,1
46,ALEXANDER,T2T3,4760,554,204,0
47,ALEXANDER,W,1552,1,55,0
48,ALLEGHANY,1,1122,7,33,0
49,ALLEGHANY,03A,3263,64,134,0
50,ALLEGHANY,4,1304,9,40,0
51,ALLEGHANY,06A,1436,3,48,0
52,BURKE,1,2781,189,170,0
53,BURKE,3,1096,19,38,0
54,BURKE,11,2642,29,145,0
55,BURKE,12,1775,7,49,0
56,BURKE,13,2609,31,117,0
57,BURKE,14,1918,6,90,0
58,BURKE,15,1361,16,77,0
59,BURKE,18,466,1,8,0
60,BURKE,19,535,28,15,1
61,BURKE,20,755,113,16,0
62,BURKE,21,1387,12,65,0
63,BURKE,22,1741,27,80,0
64,BURKE,24,2412,21,84,0
65,BURKE,0029-A,1137,48,58,0
66,BURKE,0029-B,1098,9,17,0
67,BURKE,31,1393,462,136,0
68,BURKE,34,1682,186,107,0
69,BURKE,35,1136,270,98,0
70,BURKE,36,1841,42,75,0
71,BURKE,38,1870,163,132,0
72,BURKE,39,1340,230,150,0
73,BURKE,40,1599,104,86,0
74,BURKE,0047-A,1515,419,76,0
75,BURKE,0047-B,1111,171,46,1
76,BURKE,48,1883,124,87,0
77,BURKE,51,2948,298,241,0
78,BURKE,52,1158,139,156,0
79,BURKE,53,2226,19,111,0
80,BURKE,62,812,22,10,0
81,BURKE,64,776,1,20,0
82,BURKE,65,1089,8,44,0
83,BURKE,66,1813,241,85,0
84,BURKE,70,2372,51,61,1
85,CHEROKEE,ANNW,1864,15,53,0
86,CHEROKEE,ANSW,1821,32,49,0
87,CHEROKEE,BELL,1283,3,25,0
88,CHEROKEE,BRAS,886,1,17,0
89,CHEROKEE,CSON,939,5,30,0
90,CHEROKEE,GCRK,457,0,22,0
91,CHEROKEE,HANG,850,0,11,0
92,CHEROKEE,HIWA,2231,6,33,0
93,CHEROKEE,HOTH,1491,5,35,0
94,CHEROKEE,MARB,1536,16,34,0
95,CHEROKEE,MURN,2123,125,81,0
96,CHEROKEE,MURS,2365,23,96,0
97,CHEROKEE,PCHT,2299,13,66,0
98,CHEROKEE,RGER,1773,10,30,0
99,CHEROKEE,TOPT,476,0,7,0
100,CHEROKEE,UNKA,620,1,8,0
101,CLAY,BRAS,849,2,20,0
102,CLAY,HAY1,1204,13,44,0
103,CLAY,HAY2,1418,6,47,0
104,CLAY,HAYC,476,8,18,0
105,CLAY,HIAW,1361,12,38,0
106,CLAY,SHCR,1270,2,35,0
107,CLAY,SWEE,734,0,13,1
108,CLAY,TUSQ,675,1,9,1
109,CLAY,WARN,752,5,16,0
110,CLEVELAND,BETHWR,1460,164,66,1
111,CLEVELAND,BR,3889,472,187,0
112,CLEVELAND,CASAR,1210,1,30,0
113,CLEVELAND,FALSTN,1442,54,41,0
114,CLEVELAND,GROVER,2415,500,126,0
115,CLEVELAND,KINGST,358,562,21,0
116,CLEVELAND,KM N,3375,1093,175,0
117,CLEVELAND,KM S,3010,918,215,0
118,CLEVELAND,LATT,2384,223,91,0
119,CLEVELAND,LAWNDL,1084,591,36,0
120,CLEVELAND,MRB-YO,1297,121,45,0
121,CLEVELAND,MULLS,1767,66,39,0
122,CLEVELAND,OAKGRV,2808,196,150,0
123,CLEVELAND,POLKVL,2009,112,52,0
124,CLEVELAND,RIPPY,2709,788,119,0
125,CLEVELAND,S 4A,2649,1770,205,0
126,CLEVELAND,S 5,1457,858,66,0
127,CLEVELAND,S C,4146,2367,358,0
128,CLEVELAND,S S,3577,1969,251,0
129,CLEVELAND,SHANGI,2090,450,73,0
130,CLEVELAND,WACO,2278,663,127,0
131,CRAVEN,2,7008,2092,1346,0
132,CRAVEN,3,3424,65,107,0
133,CRAVEN,4,734,336,54,0
134,CRAVEN,5,2364,172,90,0
135,CRAVEN,6,772,579,79,0
136,CRAVEN,7,1589,901,73,0
137,CRAVEN,8,619,345,34,0
138,CRAVEN,9,280,261,13,0
