var,u,r,c,val,id
R,,,,3,
C,,,,3,
U,,,,2774,
sigmanu,,,,0.02,
alpha,,,0,0.2,
alpha,,,1,-0.48,
alpha,,,2,0.28,
beta,,0,0,-0.15,
beta,,0,1,-0.43,
beta,,0,2,0.94,
beta,,1,0,0.01,
beta,,1,1,0.49,
beta,,1,2,-1.23,
beta,,2,0,0.14,
beta,,2,1,-0.06,
beta,,2,2,0.3,
nu,0,0,0,-0.008254337682410767,
nu,0,0,1,0.010885738379129817,
nu,0,0,2,0.0179424244233668,
nu,0,1,0,-0.013121618263680626,
nu,0,1,1,0.015381805121315484,
nu,0,1,2,-0.025742493487992846,
nu,0,2,0,0.005602454845830884,
nu,0,2,1,-0.004006014707923222,
nu,0,2,2,-0.015970283631322746,
nu,1,0,0,-0.0011510794251604062,
nu,1,0,1,-0.0003598982164947917,
nu,1,0,2,0.0373112101866091,
nu,1,1,0,-0.05832400826541758,
nu,1,1,1,-0.024844815624383343,
nu,1,1,2,-0.009500530344191294,
nu,1,2,0,0.011468369804296275,
nu,1,2,1,-0.025187275286020328,
nu,1,2,2,0.022987579304125927,
nu,2,0,0,0.01034485963811077,
nu,2,0,1,0.010381081362204336,
nu,2,0,2,0.01642155930481226,
nu,2,1,0,-0.037520086850503724,
nu,2,1,1,0.027818195594425887,
nu,2,1,2,0.0225418009934808,
nu,2,2,0,0.0034832334618466465,
nu,2,2,1,-0.030540021446942178,
nu,2,2,2,0.01510612287204377,
nu,3,0,0,0.022103007634036886,
nu,3,0,1,0.0071315021835209325,
nu,3,0,2,-0.04317557194188759,
nu,3,1,0,-0.004849362891733119,
nu,3,1,1,-0.012244153917638667,
nu,3,1,2,0.04341483135146973,
nu,3,2,0,0.01741786515542537,
nu,3,2,1,-0.008679577071837474,
nu,3,2,2,-0.019997183942757013,
nu,4,0,0,-0.012226792019536609,
nu,4,0,1,0.018783719610302174,
nu,4,0,2,0.0052385864456157005,
nu,4,1,0,-0.02116729992241633,
nu,4,1,1,0.010828801244307407,
nu,4,1,2,-0.009977117104644773,
nu,4,2,0,-0.020627534783295542,
nu,4,2,1,0.015163236734213104,
nu,4,2,2,0.004618207698506682,
nu,5,0,0,0.004734055866948889,
nu,5,0,1,-0.0008968466145715115,
nu,5,0,2,0.0029277340066429236,
nu,5,1,0,-0.031064617498705142,
nu,5,1,1,-0.008050384791618237,
nu,5,1,2,0.0058768170531151576,
nu,5,2,0,-0.0176286812266237,
nu,5,2,1,-0.010106331443809846,
nu,5,2,2,-0.015424791845188468,
nu,6,0,0,-0.009973665463798909,
nu,6,0,1,-0.033999599931099855,
nu,6,0,2,0.009010410447542583,
nu,6,1,0,-0.01572222567755354,
nu,6,1,1,0.022724474446250253,
nu,6,1,2,0.003483539165873406,
nu,6,2,0,-0.008157378980044261,
nu,6,2,1,-0.003463949337205785,
nu,6,2,2,-0.012770889677096442,
nu,7,0,0,-0.00050656973672078,
nu,7,0,1,0.025526077627662402,
nu,7,0,2,-0.014463909993410073,
nu,7,1,0,-0.006319016977041727,
nu,7,1,1,-0.016357462587713145,
nu,7,1,2,0.005450442648360365,
nu,7,2,0,-0.014394982478397322,
nu,7,2,1,-0.009177480714584518,
nu,7,2,2,-0.0004059434266623918,
nu,8,0,0,-0.011037754018490692,
nu,8,0,1,-0.01710414832660806,
nu,8,0,2,-0.0312406309334472,
nu,8,1,0,-0.022093875460274463,
nu,8,1,1,-0.00025045078164398493,
nu,8,1,2,0.031239111858352153,
nu,8,2,0,-0.021650819439629376,
nu,8,2,1,0.002234043847918421,
nu,8,2,2,-0.0036294474481173844,
nu,9,0,0,-0.030234828942958064,
nu,9,0,1,0.008605364801486381,
nu,9,0,2,-0.03270803075429707,
nu,9,1,0,-0.01094842750420654,
nu,9,1,1,0.011792789160314787,
nu,9,1,2,-0.016372585281312357,
nu,9,2,0,0.03228758204136162,
nu,9,2,1,0.0024624962617440516,
nu,9,2,2,-0.0008096770670077968,
nu,10,0,0,0.019366909345291866,
nu,10,0,1,-0.04980516104563565,
nu,10,0,2,-0.004335426573163215,
nu,10,1,0,0.018626609928669276,
nu,10,1,1,-0.003214104246985483,
nu,10,1,2,-0.032369573669721596,
nu,10,2,0,-0.012885739838875254,
nu,10,2,1,0.04112125663248695,
nu,10,2,2,0.01658653425407114,
nu,11,0,0,0.011507577639002009,
nu,11,0,1,-0.021603280286807747,
nu,11,0,2,-0.011257619307672773,
nu,11,1,0,-0.021648119014596283,
nu,11,1,1,0.018045164673982872,
nu,11,1,2,-0.04773604039347212,
nu,11,2,0,0.00977830243967398,
nu,11,2,1,0.020857977748705736,
nu,11,2,2,-0.007353737323024634,
nu,12,0,0,0.01053838901923057,
nu,12,0,1,0.000684880459510373,
nu,12,0,2,0.001533785532456422,
nu,12,1,0,-0.03572450463461512,
nu,12,1,1,-0.0035114657933008053,
nu,12,1,2,-0.0014873757474194171,
nu,12,2,0,-0.022297177200918727,
nu,12,2,1,0.034841662810160934,
nu,12,2,2,0.023450139459898323,
nu,13,0,0,-0.014349792406623013,
nu,13,0,1,0.0008499916072076119,
nu,13,0,2,0.004932503790424203,
nu,13,1,0,-0.009729973324478216,
nu,13,1,1,0.006971462754093771,
nu,13,1,2,-0.012827390030499153,
nu,13,2,0,0.011447934410085014,
nu,13,2,1,-0.010475623670354983,
nu,13,2,2,-0.007491943022203185,
nu,14,0,0,-0.005825084399539382,
nu,14,0,1,-0.016803320398564192,
nu,14,0,2,0.02679909941115577,
nu,14,1,0,-0.0026912007069268464,
nu,14,1,1,0.012240719728416671,
nu,14,1,2,0.008766316947205421,
nu,14,2,0,-0.02270252641092807,
nu,14,2,1,0.015019682173758764,
nu,14,2,2,-0.0035179877169083107,
nu,15,0,0,0.010510697061427238,
nu,15,0,1,-0.016088057842395476,
nu,15,0,2,0.002153886540450678,
nu,15,1,0,0.03669414356930251,
nu,15,1,1,-0.022627846372153426,
nu,15,1,2,-0.010982674285854088,
nu,15,2,0,0.005227974770066313,
nu,15,2,1,-0.031044649195315188,
nu,15,2,2,-0.03182704287332533,
nu,16,0,0,0.003348537369079224,
nu,16,0,1,-0.030897911447778037,
nu,16,0,2,-0.004204869670224376,
nu,16,1,0,0.03465574789144541,
nu,16,1,1,-0.007529960804077973,
nu,16,1,2,0.024825616674409634,
nu,16,2,0,-0.014426779433432735,
nu,16,2,1,-0.012324862486657373,
nu,16,2,2,0.0052332007333688035,
nu,17,0,0,-0.016730260192966306,
nu,17,0,1,-0.019625693372853414,
nu,17,0,2,0.014399185763152467,
nu,17,1,0,0.022703398942542703,
nu,17,1,1,-0.02408494469171696,
nu,17,1,2,-0.0017797557364249705,
nu,17,2,0,-0.012738879665241731,
nu,17,2,1,0.02329190309262036,
nu,17,2,2,0.03149416806065547,
nu,18,0,0,0.020766478794686405,
nu,18,0,1,0.0258316610721136,
nu,18,0,2,-0.01249293979184185,
nu,18,1,0,0.022744049279163438,
nu,18,1,1,0.03728509528698887,
nu,18,1,2,0.002723247042638377,
nu,18,2,0,0.01712152697626429,
nu,18,2,1,-0.021687635517794235,
nu,18,2,2,0.011953240649255237,
nu,19,0,0,-0.027511343740472483,
nu,19,0,1,-0.024123074241567954,
nu,19,0,2,0.0236885760383152,
nu,19,1,0,0.0249839490767512,
nu,19,1,1,-0.00574732207567924,
nu,19,1,2,0.0016290073224645152,
nu,19,2,0,-0.0117331931347463,
nu,19,2,1,0.01662823098608418,
nu,19,2,2,-0.056151116063132334,
nu,20,0,0,-0.026112268749394096,
nu,20,0,1,-0.03156330759320508,
nu,20,0,2,0.018858299068148066,
nu,20,1,0,-0.013674015740120163,
nu,20,1,1,0.024733023336896198,
nu,20,1,2,0.01984635961421688,
nu,20,2,0,-0.018408843440049893,
nu,20,2,1,-0.00657472794754882,
nu,20,2,2,-0.03580127768110203,
nu,21,0,0,-0.004538441120397335,
nu,21,0,1,-0.0137325190962711,
nu,21,0,2,-0.02719115230855418,
nu,21,1,0,0.001160724805917288,
nu,21,1,1,-0.006972117233730535,
nu,21,1,2,0.00574583257582395,
nu,21,2,0,0.03155652424190253,
nu,21,2,1,0.00013472972104383585,
nu,21,2,2,0.037869275475112374,
nu,22,0,0,0.00845522603182755,
nu,22,0,1,-0.0034250354913877845,
nu,22,0,2,-0.028357596235413007,
nu,22,1,0,-0.021192844229052647,
nu,22,1,1,0.016864065387215743,
nu,22,1,2,0.001398307753456951,
nu,22,2,0,-0.020174319289679,
nu,22,2,1,-0.017314808636983703,
nu,22,2,2,0.032082171788732794,
nu,23,0,0,0.004709913569115209,
nu,23,0,1,0.005839338091439494,
nu,23,0,2,0.007551514136413973,
nu,23,1,0,0.040473611321836696,
nu,23,1,1,0.006621229361433001,
