var,u,r,c,val,id
R,,,,3,
C,,,,3,
U,,,,2774,
sigmanu,,,,0.02,
alpha,,,0,0.28,
alpha,,,1,0.2,
alpha,,,2,-0.48,
beta,,0,0,-0.15,
beta,,0,1,-0.43,
beta,,0,2,0.94,
beta,,1,0,0.01,
beta,,1,1,0.49,
beta,,1,2,-1.23,
beta,,2,0,0.14,
beta,,2,1,-0.06,
beta,,2,2,0.3,
nu,0,0,0,-0.02533848952544307,
nu,0,0,1,0.04346844725127258,
nu,0,0,2,0.03724674362061553,
nu,0,1,0,-0.018838113801516114,
nu,0,1,1,0.038795699086741964,
nu,0,1,2,-0.003555380641568684,
nu,0,2,0,-0.03671953462350647,
nu,0,2,1,-0.01542312475815337,
nu,0,2,2,0.011735105985251348,
nu,1,0,0,-0.03536100578931625,
nu,1,0,1,0.011977144352301516,
nu,1,0,2,0.005737954838513359,
nu,1,1,0,-0.028644695349735676,
nu,1,1,1,-0.007284085959348319,
nu,1,1,2,-0.010585626086343725,
nu,1,2,0,0.010318721555093002,
nu,1,2,1,0.005426761290170834,
nu,1,2,2,-0.005085654247076188,
nu,2,0,0,0.0041371826011667445,
nu,2,0,1,0.020306551002987117,
nu,2,0,2,0.02289375077305289,
nu,2,1,0,-0.01044361885480293,
nu,2,1,1,-0.01794023452312704,
nu,2,1,2,0.00526128478155119,
nu,2,2,0,0.016333796471846018,
nu,2,2,1,-0.028356112838493208,
nu,2,2,2,0.0027506425972842474,
nu,3,0,0,-0.027857903525703526,
nu,3,0,1,0.02249059421223637,
nu,3,0,2,0.0014246304470836302,
nu,3,1,0,-0.012665046254022086,
nu,3,1,1,0.025623387421345623,
nu,3,1,2,0.01761324176649981,
nu,3,2,0,0.009491433057475018,
nu,3,2,1,0.0007285967703674068,
nu,3,2,2,0.05362042200988043,
nu,4,0,0,-0.015065511056123665,
nu,4,0,1,-0.00030289082535889245,
nu,4,0,2,0.010180941476942373,
nu,4,1,0,-0.04374589218491703,
nu,4,1,1,0.0012348444509298617,
nu,4,1,2,-0.00975070403454592,
nu,4,2,0,0.018411972845838065,
nu,4,2,1,0.00767733880043428,
nu,4,2,2,0.009547112210627817,
nu,5,0,0,0.028773624607027287,
nu,5,0,1,0.04418103873060375,
nu,5,0,2,-0.01630677314249296,
nu,5,1,0,0.061467672411735126,
nu,5,1,1,0.018204945330337452,
nu,5,1,2,0.00031233633946725625,
nu,5,2,0,-0.0254029658409598,
nu,5,2,1,7.24756538575122e-05,
nu,5,2,2,0.00647387521543491,
nu,6,0,0,-0.013139594787893477,
nu,6,0,1,-0.022886857636803593,
nu,6,0,2,-0.0023266844459093328,
nu,6,1,0,0.013365914950310318,
nu,6,1,1,0.0081458516453638,
nu,6,1,2,-0.0018722607327237295,
nu,6,2,0,-0.00037829348631573945,
nu,6,2,1,-0.009152763916369433,
nu,6,2,2,0.02468513242544812,
nu,7,0,0,0.012213112754731997,
nu,7,0,1,-0.015574383395960845,
nu,7,0,2,-0.03027407955078143,
nu,7,1,0,0.024188926979062393,
nu,7,1,1,0.014238464332541279,
nu,7,1,2,-0.0033554934303889894,
nu,7,2,0,0.02443528272593548,
nu,7,2,1,0.03630439195981111,
nu,7,2,2,0.0053886344508112805,
nu,8,0,0,-0.0032637376531471918,
nu,8,0,1,0.012465202803265518,
nu,8,0,2,-0.0006370458369810983,
nu,8,1,0,0.002900118191731924,
nu,8,1,1,-0.002133369157484466,
nu,8,1,2,-0.014580213046666124,
nu,8,2,0,-0.019227115358005864,
nu,8,2,1,-0.0031099079172044464,
nu,8,2,2,0.00458473900037909,
nu,9,0,0,-0.02579393844133543,
nu,9,0,1,0.012612777697409483,
nu,9,0,2,-0.013807033674308578,
nu,9,1,0,-0.003716028077176683,
nu,9,1,1,0.022546151083787436,
nu,9,1,2,0.0064732953774289115,
nu,9,2,0,-0.016136907852207893,
nu,9,2,1,-0.028767078134388696,
nu,9,2,2,0.012361248681576287,
nu,10,0,0,-0.0053685206907385374,
nu,10,0,1,-0.013267095454253253,
nu,10,0,2,0.024466875385638298,
nu,10,1,0,0.007303964951868422,
nu,10,1,1,0.009431390645212978,
nu,10,1,2,-0.023403333555540806,
nu,10,2,0,-0.005648612041822931,
nu,10,2,1,-0.019795279662597434,
nu,10,2,2,-0.018567830143950026,
nu,11,0,0,0.016692261983927176,
nu,11,0,1,-0.010796362744801447,
nu,11,0,2,-0.013486275806426695,
nu,11,1,0,0.013160563036164927,
nu,11,1,1,-0.021689615844406263,
nu,11,1,2,-0.024770358272577342,
nu,11,2,0,0.01654628874207348,
nu,11,2,1,-0.00011464321619980566,
nu,11,2,2,0.017506630726425665,
nu,12,0,0,0.030369335255864993,
nu,12,0,1,-0.025917205458894865,
nu,12,0,2,0.02120064665217891,
nu,12,1,0,-0.05367202231219733,
nu,12,1,1,0.010237422847591438,
nu,12,1,2,0.005036816120009391,
nu,12,2,0,-0.030303953384058002,
nu,12,2,1,-0.04335731674885135,
nu,12,2,2,0.017508095994832884,
nu,13,0,0,-0.014770152896131483,
nu,13,0,1,-0.00935430527339104,
nu,13,0,2,-0.0038057274798029006,
nu,13,1,0,-0.007011372311093824,
nu,13,1,1,-0.02129671366131386,
nu,13,1,2,0.030204087410671043,
nu,13,2,0,0.01622309757383067,
nu,13,2,1,0.012304542173797423,
nu,13,2,2,0.004685919754175483,
nu,14,0,0,0.03088113417996166,
nu,14,0,1,0.003632637188806298,
nu,14,0,2,0.02376723324897867,
nu,14,1,0,-0.005415728943222056,
nu,14,1,1,-0.014214963652813328,
nu,14,1,2,0.04972677472617315,
nu,14,2,0,-0.0008555999284287075,
nu,14,2,1,-0.03566818734382181,
nu,14,2,2,-0.004584019259282368,
nu,15,0,0,-0.05965698761662863,
nu,15,0,1,-0.052263480994735045,
nu,15,0,2,0.015849862800466186,
nu,15,1,0,-0.0035173250973258765,
nu,15,1,1,-0.01586919000539283,
nu,15,1,2,0.01703780933384369,
nu,15,2,0,-0.05370011278572506,
nu,15,2,1,0.039304272564015114,
nu,15,2,2,0.005338440961041024,
nu,16,0,0,-0.01988865230842632,
nu,16,0,1,-0.01069135135958793,
nu,16,0,2,0.013948586506403071,
nu,16,1,0,0.012458043134368055,
nu,16,1,1,-0.04492169496794579,
nu,16,1,2,-0.022104508163538483,
nu,16,2,0,-0.023547881370132417,
nu,16,2,1,0.0035158990002589208,
nu,16,2,2,9.79231989072793e-05,
nu,17,0,0,0.00817635161630495,
nu,17,0,1,0.0013065605940439373,
nu,17,0,2,-0.010702836031251217,
nu,17,1,0,-0.01781679067099578,
nu,17,1,1,0.036797286267003626,
nu,17,1,2,-0.021438840116295044,
nu,17,2,0,-0.00962198003810888,
nu,17,2,1,0.019029596350295164,
nu,17,2,2,-0.0045691855137716675,
nu,18,0,0,-0.03416760196960092,
nu,18,0,1,-0.015921390878713804,
nu,18,0,2,-0.0004245490161333132,
nu,18,1,0,0.023732059881123264,
nu,18,1,1,-0.013193967470901569,
nu,18,1,2,0.017552645174399695,
nu,18,2,0,-0.003478821063288229,
nu,18,2,1,0.01597371266242864,
nu,18,2,2,-0.019188004140662962,
nu,19,0,0,0.022606361661684754,
nu,19,0,1,0.0023754538392555813,
nu,19,0,2,-0.007361507961397562,
nu,19,1,0,-0.02157407683327827,
nu,19,1,1,0.024637686101773415,
nu,19,1,2,-0.004439818474222257,
nu,19,2,0,0.021380625292624578,
nu,19,2,1,-0.03363300477847618,
nu,19,2,2,-0.017289230858860083,
nu,20,0,0,0.020560651525679985,
nu,20,0,1,0.005390663739302359,
nu,20,0,2,-0.01577326055038586,
nu,20,1,0,0.015147735313143016,
nu,20,1,1,-0.034759858917110587,
nu,20,1,2,0.011145643885283274,
nu,20,2,0,0.005673546329066859,
nu,20,2,1,-0.036775531205002376,
nu,20,2,2,-0.011124683402534696,
nu,21,0,0,-0.003930305792224115,
nu,21,0,1,0.01686341858381102,
nu,21,0,2,0.026843437598277786,
nu,21,1,0,0.003822187434847255,
nu,21,1,1,-0.01401567638170148,
nu,21,1,2,-0.019413022065666974,
nu,21,2,0,-0.012770554582996418,
nu,21,2,1,0.006862331186421711,
nu,21,2,2,0.01000559601941936,
nu,22,0,0,-0.018089691131384117,
nu,22,0,1,-0.014102809742314037,
nu,22,0,2,0.02716434326642847,
nu,22,1,0,0.028417767159115932,
nu,22,1,1,0.035605578426549656,
nu,22,1,2,0.012610220707910402,
nu,22,2,0,-0.01415901700939709,
nu,22,2,1,-0.010384328039195562,
nu,22,2,2,0.010410589493162314,
nu,23,0,0,-0.0033998913618471516,
nu,23,0,1,-0.01561290545151045,
nu,23,0,2,-0.005645740021750001,
nu,23,1,0,0.0055552654009869504,
