var,u,r,c,val,id
R,,,,3,
C,,,,3,
U,,,,2774,
sigmanu,,,,0.1,
alpha,,,0,0.28,
alpha,,,1,0.2,
alpha,,,2,-0.48,
beta,,0,0,-0.15,
beta,,0,1,-0.43,
beta,,0,2,0.94,
beta,,1,0,0.01,
beta,,1,1,0.49,
beta,,1,2,-1.23,
beta,,2,0,0.14,
beta,,2,1,-0.06,
beta,,2,2,0.3,
nu,0,0,0,0.06696651312759036,
nu,0,0,1,0.026437712938901237,
nu,0,0,2,-0.1717128066088246,
nu,0,1,0,0.03404296767321375,
nu,0,1,1,0.20957970829908334,
nu,0,1,2,0.10828264331857973,
nu,0,2,0,0.09308691518497958,
nu,0,2,1,-0.02413151951165199,
nu,0,2,2,0.13736344346334212,
nu,1,0,0,-0.06884204921185574,
nu,1,0,1,-0.13110284635085484,
nu,1,0,2,0.06503805324433154,
nu,1,1,0,-0.01867596614997074,
nu,1,1,1,-0.03116601052872353,
nu,1,1,2,-0.03108315115792526,
nu,1,2,0,0.05615332892223346,
nu,1,2,1,-0.002097494701492064,
nu,1,2,2,-0.019761947643764544,
nu,2,0,0,0.07038811542632514,
nu,2,0,1,-0.0999150494168532,
nu,2,0,2,-0.07875009976897851,
nu,2,1,0,-0.045197968104082574,
nu,2,1,1,-0.1182653997644168,
nu,2,1,2,-0.18270989018463735,
nu,2,2,0,-0.11759008840718677,
nu,2,2,1,-0.07853793261682152,
nu,2,2,2,0.044738150760246675,
nu,3,0,0,0.12370666093634716,
nu,3,0,1,0.05160140751776626,
nu,3,0,2,0.00045405780264373696,
nu,3,1,0,-0.05263079367463427,
nu,3,1,1,0.17200402268952342,
nu,3,1,2,-0.04519767357939952,
nu,3,2,0,0.08635244635418782,
nu,3,2,1,-0.02936529426230726,
nu,3,2,2,0.0910494404973563,
nu,4,0,0,-0.009322360022834625,
nu,4,0,1,0.03874794593676123,
nu,4,0,2,-0.04537175516766789,
nu,4,1,0,0.11194425741259019,
nu,4,1,1,0.18764562969183074,
nu,4,1,2,0.1575836632446994,
nu,4,2,0,-0.03128589359281808,
nu,4,2,1,-0.24980668326398614,
nu,4,2,2,-0.030160277170513894,
nu,5,0,0,0.2182407870768351,
nu,5,0,1,0.10986628725924508,
nu,5,0,2,-0.1860777094561632,
nu,5,1,0,-0.13029837957438892,
nu,5,1,1,-0.07392998310083215,
nu,5,1,2,0.07458849628571729,
nu,5,2,0,-0.2839980450685816,
nu,5,2,1,-0.13499146055530206,
nu,5,2,2,-0.07422239091800159,
nu,6,0,0,-0.055137516007072646,
nu,6,0,1,0.023762771564074192,
nu,6,0,2,0.018327836188257507,
nu,6,1,0,-0.00019550383442150897,
nu,6,1,1,-0.06536307477931264,
nu,6,1,2,0.06839527654564548,
nu,6,2,0,0.1344270132786226,
nu,6,2,1,0.14681382679797916,
nu,6,2,2,-0.012330916122509139,
nu,7,0,0,0.032585691544862516,
nu,7,0,1,-0.08829447092759274,
nu,7,0,2,0.009567744787044696,
nu,7,1,0,-0.1434880341092733,
nu,7,1,1,-0.17298279225129692,
nu,7,1,2,0.09198104306351507,
nu,7,2,0,0.03660434989949729,
nu,7,2,1,0.03168345725894117,
nu,7,2,2,0.0182012311116741,
nu,8,0,0,-0.0803857052138493,
nu,8,0,1,-0.008951698162553423,
nu,8,0,2,-0.13080384884744267,
nu,8,1,0,-0.2018709658616422,
nu,8,1,1,0.14836133677440433,
nu,8,1,2,-0.13763613876378455,
nu,8,2,0,0.03164543950974136,
nu,8,2,1,0.0918166739204142,
nu,8,2,2,-0.02528948210882237,
nu,9,0,0,-0.07778786788041733,
nu,9,0,1,-0.04707191346398565,
nu,9,0,2,0.07312672315521196,
nu,9,1,0,-0.21175674507542014,
nu,9,1,1,0.007058078730638295,
nu,9,1,2,0.07738865465666533,
nu,9,2,0,-0.016378993295411315,
nu,9,2,1,0.0542390214886036,
nu,9,2,2,-0.032593112710024574,
nu,10,0,0,-0.09816393475504093,
nu,10,0,1,0.0072105650329563065,
nu,10,0,2,-0.05538953264956026,
nu,10,1,0,-0.08913967383394882,
nu,10,1,1,-0.030992982231238086,
nu,10,1,2,0.0891472913597422,
nu,10,2,0,0.1445103214564618,
nu,10,2,1,-0.04218403246550481,
nu,10,2,2,-0.10541291052944868,
nu,11,0,0,0.024096060021434357,
nu,11,0,1,0.04659036581020243,
nu,11,0,2,-0.024513924856032654,
nu,11,1,0,-0.062038172427177095,
nu,11,1,1,0.04695656381327318,
nu,11,1,2,-0.1180255191887003,
nu,11,2,0,-0.024381940439690997,
nu,11,2,1,0.10273636641950562,
nu,11,2,2,0.029363533684762244,
nu,12,0,0,0.02401052418264052,
nu,12,0,1,0.0041609332062953475,
nu,12,0,2,-0.09806515212690492,
nu,12,1,0,0.00527993571062608,
nu,12,1,1,-0.02285851797348387,
nu,12,1,2,-0.17621834753766574,
nu,12,2,0,0.12497079200791472,
nu,12,2,1,0.13419445605668745,
nu,12,2,2,-0.12632937659886018,
nu,13,0,0,-0.13050303185024212,
nu,13,0,1,-0.11916054341296117,
nu,13,0,2,-0.024932257961568727,
nu,13,1,0,-0.022822745838331986,
nu,13,1,1,0.00021986544317081913,
nu,13,1,2,-0.14053876098655538,
nu,13,2,0,-0.09116240161719813,
nu,13,2,1,0.06711227047255036,
nu,13,2,2,-0.034936843899783965,
nu,14,0,0,-0.037429849088517264,
nu,14,0,1,0.0868200506737078,
nu,14,0,2,-0.006825342949804414,
nu,14,1,0,-0.15801731722435164,
nu,14,1,1,-0.08986632979673931,
nu,14,1,2,-0.07401182563571007,
nu,14,2,0,-0.0653806548301753,
nu,14,2,1,0.05867108398035614,
nu,14,2,2,0.021074603567245,
nu,15,0,0,0.052057505663569564,
nu,15,0,1,-0.06964365982541493,
nu,15,0,2,-0.1913376835444398,
nu,15,1,0,-0.22403437919790492,
nu,15,1,1,-0.058007796987816274,
nu,15,1,2,0.07647633405555121,
nu,15,2,0,-0.13249874567067577,
nu,15,2,1,-0.0449285938334377,
nu,15,2,2,-0.1265204701422144,
nu,16,0,0,-0.004308450278035697,
nu,16,0,1,-0.0033578953641683063,
nu,16,0,2,-0.10099311032536806,
nu,16,1,0,0.002106783533592846,
nu,16,1,1,0.2393659663796588,
nu,16,1,2,0.03247520751716215,
nu,16,2,0,-0.18677200160801277,
nu,16,2,1,0.06888181334294974,
nu,16,2,2,0.21856705270401894,
nu,17,0,0,0.04256920512615095,
nu,17,0,1,-0.12033856449911945,
nu,17,0,2,0.009017015863901578,
nu,17,1,0,-0.06061454125115894,
nu,17,1,1,-0.14093321699119093,
nu,17,1,2,0.03684493974731384,
nu,17,2,0,-0.088847779625843,
nu,17,2,1,0.05372095090500201,
nu,17,2,2,-0.015575504645143401,
nu,18,0,0,-0.19549566798975906,
nu,18,0,1,0.10109957217199844,
nu,18,0,2,-0.03399573885870222,
nu,18,1,0,-0.036423636641183414,
nu,18,1,1,-0.05692628751021994,
nu,18,1,2,-0.07779524136103366,
nu,18,2,0,-0.059127884398262276,
nu,18,2,1,-0.005582173565632592,
nu,18,2,2,-0.0589846072110769,
nu,19,0,0,0.13272747621161837,
nu,19,0,1,0.07671767492135506,
nu,19,0,2,0.04700089415942099,
nu,19,1,0,-0.029882026417556988,
nu,19,1,1,-0.06264799764490497,
nu,19,1,2,0.027588827235437652,
nu,19,2,0,-0.1640551163262668,
nu,19,2,1,0.04494964733434961,
nu,19,2,2,-0.059539100852132626,
nu,20,0,0,-0.15390115261978135,
nu,20,0,1,-0.1186011122247081,
nu,20,0,2,0.07895117789849748,
nu,20,1,0,-0.11078007160434812,
nu,20,1,1,-0.012365982697191524,
nu,20,1,2,-0.005841298287172725,
nu,20,2,0,0.05718836777312675,
nu,20,2,1,-0.05979490135090909,
nu,20,2,2,-0.04239576068053191,
nu,21,0,0,0.2477874085276319,
nu,21,0,1,-0.002935449176534599,
nu,21,0,2,-0.012805783769660128,
nu,21,1,0,-0.07234073910788928,
nu,21,1,1,-0.0033879262782366415,
nu,21,1,2,0.1867289059874888,
nu,21,2,0,0.10792033913799404,
nu,21,2,1,-0.0044691341611987345,
nu,21,2,2,-0.03429570602418336,
nu,22,0,0,0.04265757892755337,
nu,22,0,1,0.010513605942050086,
nu,22,0,2,0.11633600893755958,
nu,22,1,0,0.08827385518386262,
nu,22,1,1,0.05279476513212966,
nu,22,1,2,-0.04500947374365505,
nu,22,2,0,0.09597273383722826,
nu,22,2,1,-0.2066601140489644,
nu,22,2,2,0.09564861633277855,
nu,23,0,0,-0.012075425433578396,
nu,23,0,1,-0.06911101016023319,
nu,23,0,2,-0.07331418438040849,
nu,23,1,0,-0.10121519102934716,
nu,23,1,1,-0.006512184965449419,
