var,u,r,c,val,id
R,,,,3,
C,,,,3,
U,,,,2774,
sigmanu,,,,0.02,
alpha,,,0,0.28,
alpha,,,1,0.2,
alpha,,,2,-0.48,
beta,,0,0,-0.15,
beta,,0,1,-0.43,
beta,,0,2,0.94,
beta,,1,0,0.01,
beta,,1,1,0.49,
beta,,1,2,-1.23,
beta,,2,0,0.14,
beta,,2,1,-0.06,
beta,,2,2,0.3,
nu,0,0,0,-0.013727114379153915,
nu,0,0,1,0.023052323165256405,
nu,0,0,2,-0.0013861249507169937,
nu,0,1,0,0.02527923339561817,
nu,0,1,1,0.002071278727052095,
nu,0,1,2,-0.007335420229782175,
nu,0,2,0,0.03558010667450323,
nu,0,2,1,-0.024586870450778286,
nu,0,2,2,0.007314838882530983,
nu,1,0,0,0.02522436681089063,
nu,1,0,1,0.03677794575688609,
nu,1,0,2,0.01217623854384775,
nu,1,1,0,-0.008016050176092073,
nu,1,1,1,-0.0016508389396790446,
nu,1,1,2,0.007134405337218874,
nu,1,2,0,-0.018880576863439802,
nu,1,2,1,-0.02785072481893279,
nu,1,2,2,-0.018324546371668637,
nu,2,0,0,0.0033918793234908873,
nu,2,0,1,0.0001215367956056701,
nu,2,0,2,0.00351593534109762,
nu,2,1,0,0.005941454372184638,
nu,2,1,1,-0.007455327407580092,
nu,2,1,2,-0.006591283895134303,
nu,2,2,0,-0.005345075220697382,
nu,2,2,1,0.014193417930301988,
nu,2,2,2,-0.012330590917604078,
nu,3,0,0,-0.023849165812497936,
nu,3,0,1,0.013282054799417353,
nu,3,0,2,-0.015113245048787194,
nu,3,1,0,-0.006874669426849769,
nu,3,1,1,0.024639065739857413,
nu,3,1,2,-0.0032767194472234085,
nu,3,2,0,-0.021763359903851365,
nu,3,2,1,-0.02187551130409221,
nu,3,2,2,0.00482462086809482,
nu,4,0,0,0.02141107382731261,
nu,4,0,1,-0.034158889801979675,
nu,4,0,2,0.041861587446622495,
nu,4,1,0,0.012674500474285153,
nu,4,1,1,-0.005878602396979626,
nu,4,1,2,0.028917394253769935,
nu,4,2,0,0.01916369942823054,
nu,4,2,1,-0.024916166482436705,
nu,4,2,2,0.0016176067045760578,
nu,5,0,0,0.008401576027195795,
nu,5,0,1,-0.021246093018933876,
nu,5,0,2,-0.015457607264012907,
nu,5,1,0,-0.008982253692461408,
nu,5,1,1,0.012045115765612291,
nu,5,1,2,0.00740450834179196,
nu,5,2,0,0.023876250047856984,
nu,5,2,1,-0.019340058524762962,
nu,5,2,2,-0.026365626408436926,
nu,6,0,0,0.0005067195212749842,
nu,6,0,1,0.0031314209181735886,
nu,6,0,2,-0.03308431726488181,
nu,6,1,0,-0.01344441112768823,
nu,6,1,1,0.00916926745524932,
nu,6,1,2,-0.01309722346871034,
nu,6,2,0,-0.004747634039995896,
nu,6,2,1,0.011892075043445138,
nu,6,2,2,0.006745014752823519,
nu,7,0,0,0.016436487270995143,
nu,7,0,1,0.006297741444991678,
nu,7,0,2,0.02748869685258115,
nu,7,1,0,-0.02335719127595836,
nu,7,1,1,-0.001729351781395494,
nu,7,1,2,-0.03336443806652167,
nu,7,2,0,-0.009021612342663299,
nu,7,2,1,0.022382548065556174,
nu,7,2,2,0.01324723928646837,
nu,8,0,0,-0.023168373340475168,
nu,8,0,1,-0.017106615273317416,
nu,8,0,2,0.006629812104453681,
nu,8,1,0,-0.01626955466781809,
nu,8,1,1,-0.000702132675595657,
nu,8,1,2,0.006906763294588281,
nu,8,2,0,-0.023381678018903507,
nu,8,2,1,0.01574929475453843,
nu,8,2,2,-0.024129200038446874,
nu,9,0,0,-0.0034749906928009666,
nu,9,0,1,0.027372228724868053,
nu,9,0,2,0.005481265209515085,
nu,9,1,0,0.01865089983137181,
nu,9,1,1,-0.029843018484458306,
nu,9,1,2,-0.005641467674072587,
nu,9,2,0,0.01611664176325711,
nu,9,2,1,-0.02828282886051567,
nu,9,2,2,0.011663931329575217,
nu,10,0,0,0.003411199848813634,
nu,10,0,1,-0.0017770503688513961,
nu,10,0,2,0.014268581770463085,
nu,10,1,0,-0.009182329831874883,
nu,10,1,1,0.01366539577674497,
nu,10,1,2,-0.013932909118362868,
nu,10,2,0,-0.03860698956714875,
nu,10,2,1,0.03724006705952587,
nu,10,2,2,-0.015248958259735212,
nu,11,0,0,0.01121542768077341,
nu,11,0,1,0.019103839127335154,
nu,11,0,2,-0.017411078979479022,
nu,11,1,0,0.021455614765131144,
nu,11,1,1,-0.023292325685982773,
nu,11,1,2,-0.004740546965978254,
nu,11,2,0,0.04419046170452828,
nu,11,2,1,0.005287300746410956,
nu,11,2,2,-0.04791514756428289,
nu,12,0,0,0.00391523644405023,
nu,12,0,1,-0.022773085215656297,
nu,12,0,2,-0.0016446213402592225,
nu,12,1,0,0.015329153268253857,
nu,12,1,1,0.01041459483168472,
nu,12,1,2,0.01083404694125556,
nu,12,2,0,-0.02305795920110021,
nu,12,2,1,0.009937707700040016,
nu,12,2,2,0.01812031832532851,
nu,13,0,0,0.028378788079532674,
nu,13,0,1,0.031202323068675264,
nu,13,0,2,0.011837963512820404,
nu,13,1,0,0.008451129381800268,
nu,13,1,1,-0.011455827678068353,
nu,13,1,2,-0.03432501834063961,
nu,13,2,0,-0.009799949005196706,
nu,13,2,1,-0.01543442766934662,
nu,13,2,2,0.00860799489696279,
nu,14,0,0,-0.022377387671705246,
nu,14,0,1,-0.004593590261132763,
nu,14,0,2,0.039086878783234136,
nu,14,1,0,-0.0015218868743675975,
nu,14,1,1,0.0305444008132032,
nu,14,1,2,-0.031337788909439945,
nu,14,2,0,-0.0014064590452400605,
nu,14,2,1,-0.03394958139521992,
nu,14,2,2,0.03546398412223212,
nu,15,0,0,0.02487121504200615,
nu,15,0,1,0.04011168411401578,
nu,15,0,2,-0.010230217349414539,
nu,15,1,0,-0.0005395017130212978,
nu,15,1,1,-0.00946006840049246,
nu,15,1,2,-0.01906965449374387,
nu,15,2,0,0.029167631601663635,
nu,15,2,1,0.023424492935345154,
nu,15,2,2,-0.0007182588261757661,
nu,16,0,0,0.02526719369663985,
nu,16,0,1,-0.012770502981394705,
nu,16,0,2,0.01688136004231433,
nu,16,1,0,0.005737394861466858,
nu,16,1,1,0.019184688056765875,
nu,16,1,2,-0.02835078669968194,
nu,16,2,0,-0.00552161619133823,
nu,16,2,1,-0.01568890818027932,
nu,16,2,2,0.014428698613307311,
nu,17,0,0,0.026629500835260472,
nu,17,0,1,0.019355295136898987,
nu,17,0,2,-0.03637125897875915,
nu,17,1,0,0.01563436023283222,
nu,17,1,1,0.04187815247852811,
nu,17,1,2,-0.010521209088133032,
nu,17,2,0,-0.004752060824421811,
nu,17,2,1,-0.022323513112491325,
nu,17,2,2,-0.023536751882747287,
nu,18,0,0,0.0016311163023411401,
nu,18,0,1,0.01729274121094654,
nu,18,0,2,-0.025955326172211413,
nu,18,1,0,0.02402409017134683,
nu,18,1,1,0.004905041009989175,
nu,18,1,2,-0.01490045539703111,
nu,18,2,0,0.012749638487059345,
nu,18,2,1,-0.043309742883085214,
nu,18,2,2,0.006319702669443983,
nu,19,0,0,0.03161504657386652,
nu,19,0,1,0.047931998279120924,
nu,19,0,2,0.00241456961401898,
nu,19,1,0,0.009404605672689645,
nu,19,1,1,-0.007989213373775172,
nu,19,1,2,-0.025663514544110422,
nu,19,2,0,-0.0015597343641827743,
nu,19,2,1,0.002757731170032224,
nu,19,2,2,0.012446190632241727,
nu,20,0,0,-0.007839900358776825,
nu,20,0,1,-0.031518987949224586,
nu,20,0,2,-0.004547207853710322,
nu,20,1,0,-0.014271172873053286,
nu,20,1,1,0.014103901186395706,
nu,20,1,2,0.018676060338117306,
nu,20,2,0,-0.006351469519729869,
nu,20,2,1,0.013565353889211013,
nu,20,2,2,-0.01855920749820078,
nu,21,0,0,0.004049543492242735,
nu,21,0,1,-0.012438201960556339,
nu,21,0,2,0.026270519402147086,
nu,21,1,0,-0.011577525692417814,
nu,21,1,1,0.004523217448915429,
nu,21,1,2,0.01436544366645176,
nu,21,2,0,-0.008940353672573953,
nu,21,2,1,-0.01262127623238829,
nu,21,2,2,0.0020914017460302303,
nu,22,0,0,0.014045783627135017,
nu,22,0,1,0.0037456216975251255,
nu,22,0,2,-0.014733500344251693,
nu,22,1,0,-0.029458518759189693,
nu,22,1,1,-0.013566520851893527,
nu,22,1,2,-0.0021284169617279414,
nu,22,2,0,-0.024042549048868656,
nu,22,2,1,-0.0026273265749560404,
nu,22,2,2,0.0063900566884421695,
nu,23,0,0,-0.028729116188278475,
nu,23,0,1,-0.004813127732288369,
nu,23,0,2,0.013007681537297144,
nu,23,1,0,-0.016320464210067602,
nu,23,1,1,0.029965055564991072,
