var,u,r,c,val,id
R,,,,3,
C,,,,3,
U,,,,2774,
sigmanu,,,,0.02,
alpha,,,0,0.28,
alpha,,,1,0.2,
alpha,,,2,-0.48,
beta,,0,0,-0.15,
beta,,0,1,-0.43,
beta,,0,2,0.94,
beta,,1,0,0.01,
beta,,1,1,0.49,
beta,,1,2,-1.23,
beta,,2,0,0.14,
beta,,2,1,-0.06,
beta,,2,2,0.3,
nu,0,0,0,-0.044579187509534046,
nu,0,0,1,-0.012800450803564678,
nu,0,0,2,0.007422325417384634,
nu,0,1,0,-0.019499236844545458,
nu,0,1,1,0.0035113926597040712,
nu,0,1,2,0.04425096727838396,
nu,0,2,0,0.0006711043101866321,
nu,0,2,1,-0.00819892933590416,
nu,0,2,2,0.0064655694971766375,
nu,1,0,0,-0.0201142639803297,
nu,1,0,1,0.016713352886284172,
nu,1,0,2,-0.013619213327353386,
nu,1,1,0,-0.025277125067134358,
nu,1,1,1,0.006731325745641115,
nu,1,1,2,0.02759328275299655,
nu,1,2,0,-0.00940458760878804,
nu,1,2,1,0.036455431222868984,
nu,1,2,2,-0.04238325632914147,
nu,2,0,0,0.018774073534897517,
nu,2,0,1,-0.0020452440400695604,
nu,2,0,2,0.03423856517294244,
nu,2,1,0,0.04136037023216161,
nu,2,1,1,-0.00018881378107910018,
nu,2,1,2,-0.01706272356831562,
nu,2,2,0,0.02853530682626909,
nu,2,2,1,-0.015104664212745103,
nu,2,2,2,0.013379906858272339,
nu,3,0,0,-0.028310558966513327,
nu,3,0,1,0.006065072407394456,
nu,3,0,2,-0.023054202987181416,
nu,3,1,0,-0.008015411071932979,
nu,3,1,1,-0.013953758054151055,
nu,3,1,2,-0.009237076245719678,
nu,3,2,0,-0.015575025363388062,
nu,3,2,1,-0.010118327465275051,
nu,3,2,2,-0.004684309461813363,
nu,4,0,0,-0.0366528892716628,
nu,4,0,1,-0.014353143929099088,
nu,4,0,2,-0.013468639599082288,
nu,4,1,0,-0.0017161729068955103,
nu,4,1,1,-0.009988356185061276,
nu,4,1,2,0.012496295006979796,
nu,4,2,0,0.020301590450461038,
nu,4,2,1,0.0048378396477118946,
nu,4,2,2,-0.02659510576142654,
nu,5,0,0,-0.02982823814365379,
nu,5,0,1,0.0026567590506470506,
nu,5,0,2,0.025578166196086882,
nu,5,1,0,0.008808580195123936,
nu,5,1,1,0.011018143134316372,
nu,5,1,2,-0.006451317515674182,
nu,5,2,0,-0.003793939497575005,
nu,5,2,1,-0.006219871324497889,
nu,5,2,2,0.0133584955402401,
nu,6,0,0,0.02248674664391087,
nu,6,0,1,-0.021837558126382828,
nu,6,0,2,-0.03210542714054221,
nu,6,1,0,0.015677792157358213,
nu,6,1,1,0.020607505572081575,
nu,6,1,2,-0.018106049865483476,
nu,6,2,0,0.026510676931162824,
nu,6,2,1,-0.003667317137764192,
nu,6,2,2,-0.004767437188937851,
nu,7,0,0,0.014433960241245686,
nu,7,0,1,-0.020186795735677387,
nu,7,0,2,-0.030543527733636666,
nu,7,1,0,0.030822864836124127,
nu,7,1,1,0.011275191000352569,
nu,7,1,2,-0.002693827555418915,
nu,7,2,0,0.010541369275484103,
nu,7,2,1,0.006008886934764424,
nu,7,2,2,-0.01005341609777971,
nu,8,0,0,-0.011479654676697565,
nu,8,0,1,0.05458250736607556,
nu,8,0,2,-0.002218535366340868,
nu,8,1,0,0.015163378645865708,
nu,8,1,1,-0.003001961303986056,
nu,8,1,2,-0.04716492156439589,
nu,8,2,0,0.004456861917140398,
nu,8,2,1,-0.044348326323868204,
nu,8,2,2,-0.028791666428378493,
nu,9,0,0,0.01704677244332567,
nu,9,0,1,0.015920373710606728,
nu,9,0,2,0.021233759618459302,
nu,9,1,0,-0.0014849688848245692,
nu,9,1,1,-0.01953746844475507,
nu,9,1,2,-0.03435571454100339,
nu,9,2,0,-0.010260522010390238,
nu,9,2,1,0.008671990734854085,
nu,9,2,2,0.0075653669582469996,
nu,10,0,0,0.021563033526923264,
nu,10,0,1,0.008659552744886667,
nu,10,0,2,-0.005665993244104328,
nu,10,1,0,-0.012237394689591721,
nu,10,1,1,-0.019838606644601298,
nu,10,1,2,0.037010076145159054,
nu,10,2,0,-0.02560966836080336,
nu,10,2,1,0.015637882084624632,
nu,10,2,2,0.013223903904725776,
nu,11,0,0,-0.005476835184472978,
nu,11,0,1,-0.025463436355505575,
nu,11,0,2,0.016773324706612303,
nu,11,1,0,0.00016278767624878544,
nu,11,1,1,-0.04483559727448788,
nu,11,1,2,-0.02655633874562846,
nu,11,2,0,-0.003108408675221719,
nu,11,2,1,-0.005171106503591233,
nu,11,2,2,-0.01946731842166688,
nu,12,0,0,0.03414645445185513,
nu,12,0,1,0.015479797065878154,
nu,12,0,2,0.03253428960322169,
nu,12,1,0,0.0031063262900053543,
nu,12,1,1,0.007290894420355409,
nu,12,1,2,0.0021212147005222892,
nu,12,2,0,0.014417251841496559,
nu,12,2,1,0.0005963549766884735,
nu,12,2,2,0.015165245734102273,
nu,13,0,0,-0.021699713139949367,
nu,13,0,1,-0.0201542909011429,
nu,13,0,2,-0.02256172694107672,
nu,13,1,0,-0.009440313620930499,
nu,13,1,1,-0.007777992097284858,
nu,13,1,2,-0.009536797169134914,
nu,13,2,0,0.006845297289541807,
nu,13,2,1,0.020475484471589006,
nu,13,2,2,-0.011227371451158652,
nu,14,0,0,-0.007564149830566552,
nu,14,0,1,0.03953434509224202,
nu,14,0,2,-0.009527397155383865,
nu,14,1,0,0.007335531784643865,
nu,14,1,1,-0.013305938820029561,
nu,14,1,2,-0.02027381586325938,
nu,14,2,0,0.006095479399498838,
nu,14,2,1,0.017254583521272904,
nu,14,2,2,-0.007529050344572907,
nu,15,0,0,0.003399615197381717,
nu,15,0,1,-0.013177487239025454,
nu,15,0,2,-0.005467286585524311,
nu,15,1,0,0.029876964298911686,
nu,15,1,1,0.0043169751352371555,
nu,15,1,2,-0.027552170688413646,
nu,15,2,0,0.02673757661718329,
nu,15,2,1,-0.007712042885031273,
nu,15,2,2,0.010180127787775606,
nu,16,0,0,0.0010539002415710375,
nu,16,0,1,-0.0007311525581529255,
nu,16,0,2,-0.0002188998691796673,
nu,16,1,0,-0.022784864776695994,
nu,16,1,1,0.013803593343032494,
nu,16,1,2,-0.027488607674887033,
nu,16,2,0,0.002799348451832162,
nu,16,2,1,-0.013965975809181269,
nu,16,2,2,-0.0025201468967809837,
nu,17,0,0,0.012843251954934048,
nu,17,0,1,-0.000533538335013406,
nu,17,0,2,0.015558065926011944,
nu,17,1,0,-0.0026709589458740936,
nu,17,1,1,0.02328919049883371,
nu,17,1,2,0.045064006330782114,
nu,17,2,0,-0.047123673127112964,
nu,17,2,1,-0.021158157791564783,
nu,17,2,2,-0.009743071241090917,
nu,18,0,0,0.005191646249945031,
nu,18,0,1,-0.038757683091792894,
nu,18,0,2,0.009600071223345719,
nu,18,1,0,-0.003872338590802207,
nu,18,1,1,-0.017529660404885072,
nu,18,1,2,0.003944565678206224,
nu,18,2,0,0.012211585772698541,
nu,18,2,1,-0.03263351528864622,
nu,18,2,2,0.025866174355839433,
nu,19,0,0,0.012573138866918854,
nu,19,0,1,-0.0082526055378907,
nu,19,0,2,-0.0032824189166826834,
nu,19,1,0,0.004222062463099538,
nu,19,1,1,-0.004136735491200472,
nu,19,1,2,0.0060158105225274205,
nu,19,2,0,-0.004414856899163433,
nu,19,2,1,-0.0132229945164907,
nu,19,2,2,0.012015341213606923,
nu,20,0,0,0.006037151988528833,
nu,20,0,1,0.04175645730476868,
nu,20,0,2,0.00263203394672884,
nu,20,1,0,0.008933267935317799,
nu,20,1,1,0.005528551596089504,
nu,20,1,2,-0.009089191259326501,
nu,20,2,0,0.007111876124998806,
nu,20,2,1,0.029182353001163647,
nu,20,2,2,-0.0041604513135591326,
nu,21,0,0,-0.00017805428614411922,
nu,21,0,1,-0.0011912254246371767,
nu,21,0,2,0.030902055006080786,
nu,21,1,0,-0.013175257785603958,
nu,21,1,1,0.027512934804609923,
nu,21,1,2,0.016469478177107755,
nu,21,2,0,-0.048058135743394015,
nu,21,2,1,0.01263086791477347,
nu,21,2,2,0.007320548742258071,
nu,22,0,0,-0.04185433187134788,
nu,22,0,1,-0.015942627335460757,
nu,22,0,2,-0.03516008609235799,
nu,22,1,0,0.014718135020494192,
nu,22,1,1,0.021524278217216253,
nu,22,1,2,-0.055096252888496844,
nu,22,2,0,0.021625090405856306,
nu,22,2,1,-0.029638017922694715,
nu,22,2,2,0.015519268798817154,
nu,23,0,0,-0.01819718379613708,
nu,23,0,1,-0.0005453621666740571,
nu,23,0,2,-0.005225983493131636,
nu,23,1,0,0.014538210904936353,
