var,u,r,c,val,id
R,,,,3,
C,,,,3,
U,,,,2774,
sigmanu,,,,0.02,
alpha,,,0,0.28,
alpha,,,1,0.2,
alpha,,,2,-0.48,
beta,,0,0,-0.15,
beta,,0,1,-0.43,
beta,,0,2,0.94,
beta,,1,0,0.01,
beta,,1,1,0.49,
beta,,1,2,-1.23,
beta,,2,0,0.14,
beta,,2,1,-0.06,
beta,,2,2,0.3,
nu,0,0,0,0.022526815007556683,
nu,0,0,1,0.00988130046017971,
nu,0,0,2,-0.006122463750035223,
nu,0,1,0,-0.010782890079717491,
nu,0,1,1,0.010813477081099698,
nu,0,1,2,0.002466862473759157,
nu,0,2,0,-0.013169049135508204,
nu,0,2,1,-0.036354062989081504,
nu,0,2,2,0.02400148030174354,
nu,1,0,0,0.023437345805030457,
nu,1,0,1,0.0339229288167075,
nu,1,0,2,-0.01603744155728326,
nu,1,1,0,-0.02935557715105646,
nu,1,1,1,0.003047555805448965,
nu,1,1,2,-0.005374376061452857,
nu,1,2,0,-0.0034873667677532416,
nu,1,2,1,0.006474182402555512,
nu,1,2,2,0.008039357533885572,
nu,2,0,0,-0.03208534646794345,
nu,2,0,1,-0.000790951875808743,
nu,2,0,2,0.03572748068583653,
nu,2,1,0,-0.026625418232850577,
nu,2,1,1,-0.0040125834311695585,
nu,2,1,2,0.013345696122156525,
nu,2,2,0,-0.0007401894880032511,
nu,2,2,1,-0.022193684845596612,
nu,2,2,2,0.0007969155563803954,
nu,3,0,0,-0.009844935674292371,
nu,3,0,1,-0.029467470758642145,
nu,3,0,2,-0.005340271899034188,
nu,3,1,0,-0.0016142640841450475,
nu,3,1,1,-0.025780319478399594,
nu,3,1,2,-0.024957260338772658,
nu,3,2,0,-0.015289438196004757,
nu,3,2,1,0.02573413403371802,
nu,3,2,2,-0.011623646748755767,
nu,4,0,0,0.05082204675072616,
nu,4,0,1,-0.005600333662681645,
nu,4,0,2,-0.01426682043942451,
nu,4,1,0,0.01571151742204075,
nu,4,1,1,-0.0032624446434612042,
nu,4,1,2,-0.0035352397213403997,
nu,4,2,0,-0.007099979175930304,
nu,4,2,1,-0.0113856282006021,
nu,4,2,2,0.0006771383098266859,
nu,5,0,0,0.02880709077433377,
nu,5,0,1,0.00407717580151995,
nu,5,0,2,0.002710267055553328,
nu,5,1,0,-0.029265228550725213,
nu,5,1,1,0.04235512584477674,
nu,5,1,2,-0.01783952125793764,
nu,5,2,0,-0.020772051267641645,
nu,5,2,1,-0.0036558840517879887,
nu,5,2,2,0.044362819226345995,
nu,6,0,0,0.01116164725263008,
nu,6,0,1,0.012597963003830537,
nu,6,0,2,-0.021603434813405986,
nu,6,1,0,0.011415866160069963,
nu,6,1,1,-0.005860723190940387,
nu,6,1,2,-0.013084598731780694,
nu,6,2,0,0.024775553800888306,
nu,6,2,1,0.0027743923316924657,
nu,6,2,2,-0.03599465891807313,
nu,7,0,0,0.0008454100489799221,
nu,7,0,1,-0.017643767123646792,
nu,7,0,2,0.01865811315862942,
nu,7,1,0,-0.013763540378423469,
nu,7,1,1,0.01955502273727605,
nu,7,1,2,0.014511091245987817,
nu,7,2,0,-0.00870074450978725,
nu,7,2,1,-8.569169307698354e-05,
nu,7,2,2,0.015532530625889829,
nu,8,0,0,0.01954742256517847,
nu,8,0,1,0.03230035616260235,
nu,8,0,2,0.023930521683501516,
nu,8,1,0,-0.03240212321799723,
nu,8,1,1,-0.02816349763564535,
nu,8,1,2,0.020654079560367355,
nu,8,2,0,-0.01824858968999371,
nu,8,2,1,-0.002393830230237426,
nu,8,2,2,-0.016662770247569514,
nu,9,0,0,0.008811386020153744,
nu,9,0,1,-0.011198565226433421,
nu,9,0,2,0.014580512060818007,
nu,9,1,0,-0.008890849722644081,
nu,9,1,1,-0.002465539125227789,
nu,9,1,2,0.0019488512847853912,
nu,9,2,0,-0.0036753036137099904,
nu,9,2,1,-0.015311543739256805,
nu,9,2,2,-0.02809706064854922,
nu,10,0,0,-5.260408446366993e-05,
nu,10,0,1,0.021594936735717662,
nu,10,0,2,0.0006088106406620941,
nu,10,1,0,0.030436824682710813,
nu,10,1,1,0.0153992362941191,
nu,10,1,2,0.004530608781237788,
nu,10,2,0,0.002210661402072711,
nu,10,2,1,0.0005659619650243974,
nu,10,2,2,0.004433198732144927,
nu,11,0,0,-0.013309139513471152,
nu,11,0,1,-0.022136813883251227,
nu,11,0,2,0.003619763368952311,
nu,11,1,0,-0.010059817897147208,
nu,11,1,1,-0.022747781570992276,
nu,11,1,2,-0.007023682209496007,
nu,11,2,0,-0.0054953196136188764,
nu,11,2,1,-0.013416004029204759,
nu,11,2,2,-0.017253019837317807,
nu,12,0,0,-0.006410655046255431,
nu,12,0,1,0.004632986042413634,
nu,12,0,2,0.013811844753852442,
nu,12,1,0,0.003329532595347415,
nu,12,1,1,-0.017584832108204995,
nu,12,1,2,-0.015387881928585534,
nu,12,2,0,0.007652261188667242,
nu,12,2,1,-0.018939867907692004,
nu,12,2,2,-0.015788323309891272,
nu,13,0,0,-0.01765934358992091,
nu,13,0,1,-0.006582040323417693,
nu,13,0,2,-0.0006213744323146919,
nu,13,1,0,0.004379385314331638,
nu,13,1,1,-0.061338369672255755,
nu,13,1,2,0.013941973928484508,
nu,13,2,0,-0.019459891098488724,
nu,13,2,1,0.0010600579645814734,
nu,13,2,2,-0.0014139846869793415,
nu,14,0,0,0.004285771863743182,
nu,14,0,1,-0.0344238551858051,
nu,14,0,2,-0.007597608465432448,
nu,14,1,0,-0.030689996683011693,
nu,14,1,1,0.001956738185434237,
nu,14,1,2,-0.009053897767641761,
nu,14,2,0,0.06908917107434187,
nu,14,2,1,0.0015421891386304953,
nu,14,2,2,0.024200622047638676,
nu,15,0,0,-0.00812693060776759,
nu,15,0,1,-0.005997325114670382,
nu,15,0,2,-0.0018759224476194714,
nu,15,1,0,0.018054099848354772,
nu,15,1,1,0.01004975545040554,
nu,15,1,2,-0.00039276770272533845,
nu,15,2,0,-0.016655564056323513,
nu,15,2,1,0.01120228361415615,
nu,15,2,2,0.002128014667005129,
nu,16,0,0,0.015449785156455703,
nu,16,0,1,-0.002762825627854959,
nu,16,0,2,0.015761879575399207,
nu,16,1,0,0.009299430286204622,
nu,16,1,1,0.020934654539201736,
nu,16,1,2,0.030123995874311138,
nu,16,2,0,-0.010377375811517209,
nu,16,2,1,0.02819655989635267,
nu,16,2,2,-0.019668882971657198,
nu,17,0,0,-0.024994433794578164,
nu,17,0,1,0.019478132073904864,
nu,17,0,2,0.0007698107715320424,
nu,17,1,0,0.026067953444917753,
nu,17,1,1,0.006379655492469272,
nu,17,1,2,-0.01282152902288236,
nu,17,2,0,0.02455364734626231,
nu,17,2,1,0.01384147018970397,
nu,17,2,2,0.011652411340572433,
nu,18,0,0,-0.003769534374076622,
nu,18,0,1,-0.030000791390814407,
nu,18,0,2,-0.01585887092414584,
nu,18,1,0,0.0008654666183786162,
nu,18,1,1,0.018416032482053035,
nu,18,1,2,0.0008152080103589476,
nu,18,2,0,-0.028661074264953845,
nu,18,2,1,-0.00189420639380658,
nu,18,2,2,-0.006537679351235615,
nu,19,0,0,0.015256960001227338,
nu,19,0,1,-0.008878201448470402,
nu,19,0,2,-0.041304578853374796,
nu,19,1,0,-0.010221751476136678,
nu,19,1,1,0.02979713717595378,
nu,19,1,2,0.009298899835794128,
nu,19,2,0,-0.025387582783593154,
nu,19,2,1,0.00809113975388509,
nu,19,2,2,0.019869355234369668,
nu,20,0,0,0.03133911313510479,
nu,20,0,1,-0.03213591055276965,
nu,20,0,2,-0.0248182588040482,
nu,20,1,0,0.011361657421184787,
nu,20,1,1,0.007020779474312511,
nu,20,1,2,-0.045088335777810684,
nu,20,2,0,0.004734830841644833,
nu,20,2,1,0.015354981285192998,
nu,20,2,2,-0.02288683786027218,
nu,21,0,0,0.005040882431271043,
nu,21,0,1,-0.0067214571745456975,
nu,21,0,2,0.01294712995795344,
nu,21,1,0,0.016644454311290198,
nu,21,1,1,0.03218150683832888,
nu,21,1,2,0.01566033590757776,
nu,21,2,0,0.025423664861075168,
nu,21,2,1,0.02439605431433811,
nu,21,2,2,-0.005905546543600981,
nu,22,0,0,0.003805360118570078,
nu,22,0,1,0.009445498129091956,
nu,22,0,2,0.027618401190598107,
nu,22,1,0,-0.030963673610247204,
nu,22,1,1,0.020441309725733436,
nu,22,1,2,-0.002655289022693408,
nu,22,2,0,0.00472192785217862,
nu,22,2,1,0.019455092709896704,
nu,22,2,2,-0.015479581007327992,
nu,23,0,0,0.0035937896944605863,
nu,23,0,1,-0.04199276994810569,
nu,23,0,2,0.01823668316253213,
nu,23,1,0,0.006549366187270209,
