var,u,r,c,val,id
R,,,,3,
C,,,,3,
U,,,,2774,
sigmanu,,,,0.3,
alpha,,,0,0.2,
alpha,,,1,-0.48,
alpha,,,2,0.28,
beta,,0,0,-0.15,
beta,,0,1,-0.43,
beta,,0,2,0.94,
beta,,1,0,0.01,
beta,,1,1,0.49,
beta,,1,2,-1.23,
beta,,2,0,0.14,
beta,,2,1,-0.06,
beta,,2,2,0.3,
nu,0,0,0,6.638095945775423,
nu,0,0,1,-4.949808882250155,
nu,0,0,2,2.0674357332949564,
nu,0,1,0,-1.9472496979624372,
nu,0,1,1,-3.508239697212786,
nu,0,1,2,-1.251537726831407,
nu,0,2,0,-0.03726886993018402,
nu,0,2,1,0.25283186131266866,
nu,0,2,2,1.5353594535721644,
nu,1,0,0,-1.234071611746007,
nu,1,0,1,4.816676826478334,
nu,1,0,2,-3.35329365440352,
nu,1,1,0,-1.4293345770672308,
nu,1,1,1,-2.6688780073958984,
nu,1,1,2,-0.7112402776946873,
nu,1,2,0,2.777838219901465,
nu,1,2,1,0.6251654712137715,
nu,1,2,2,-2.0055728788015825,
nu,2,0,0,-0.7490652884406385,
nu,2,0,1,2.810723868099608,
nu,2,0,2,-0.13844449286675453,
nu,2,1,0,-5.05944829563671,
nu,2,1,1,-4.757600927763329,
nu,2,1,2,-2.6044388294634513,
nu,2,2,0,-7.190943212781419,
nu,2,2,1,2.760624076712329,
nu,2,2,2,3.0358748307521983,
nu,3,0,0,0.9301282274697832,
nu,3,0,1,-4.4505534071138,
nu,3,0,2,21.09587557398784,
nu,3,1,0,-0.8104115623159929,
nu,3,1,1,0.5682911376511417,
nu,3,1,2,0.5403202998981766,
nu,3,2,0,-0.41262980283821715,
nu,3,2,1,-4.465001899376143,
nu,3,2,2,-0.2826473481727989,
nu,4,0,0,12.282870297715009,
nu,4,0,1,-2.9806798625954105,
nu,4,0,2,-7.632858373844327,
nu,4,1,0,10.244614733089001,
nu,4,1,1,-6.4193059419805785,
nu,4,1,2,0.4474445645458348,
nu,4,2,0,-4.908062564365049,
nu,4,2,1,-4.703335572317218,
nu,4,2,2,0.1906534430633247,
nu,5,0,0,-1.3356660962260314,
nu,5,0,1,-0.5895525285796366,
nu,5,0,2,5.512910480161821,
nu,5,1,0,0.05944441809746804,
nu,5,1,1,0.3993740310290832,
nu,5,1,2,-0.2596935924616599,
nu,5,2,0,-0.06188632309528452,
nu,5,2,1,0.42435350330853316,
nu,5,2,2,-0.06148181303813932,
nu,6,0,0,1.652195230150022,
nu,6,0,1,5.325957663635004,
nu,6,0,2,-9.403097781376529,
nu,6,1,0,-20.879197237892416,
nu,6,1,1,4.069260596167993,
nu,6,1,2,-1.8832486869371716,
nu,6,2,0,0.3105122489815871,
nu,6,2,1,5.369815006896951,
nu,6,2,2,2.1212838318505316,
nu,7,0,0,10.191337781192766,
nu,7,0,1,-3.619127311671377,
nu,7,0,2,-5.259510834090088,
nu,7,1,0,-2.2687786841987156,
nu,7,1,1,0.9551249478583947,
nu,7,1,2,-1.5830129251243688,
nu,7,2,0,0.9238974533692809,
nu,7,2,1,1.345946134495427,
nu,7,2,2,3.1006911326751654,
nu,8,0,0,-5.924079665693539,
nu,8,0,1,1.786278686017837,
nu,8,0,2,-2.42665037246209,
nu,8,1,0,3.9512870314123036,
nu,8,1,1,1.5269265827581895,
nu,8,1,2,-1.1313229313582744,
nu,8,2,0,-0.9691688716526955,
nu,8,2,1,0.3759024121214496,
nu,8,2,2,-1.5799069773927716,
nu,9,0,0,-3.7942563320873393,
nu,9,0,1,-2.4157303771575522,
nu,9,0,2,7.334736084741811,
nu,9,1,0,-3.2337892892228277,
nu,9,1,1,2.6808947510409293,
nu,9,1,2,0.5098592209234585,
nu,9,2,0,0.5333975460675325,
nu,9,2,1,-1.400462042608565,
nu,9,2,2,-0.4146106926035088,
nu,10,0,0,0.9797047980412884,
nu,10,0,1,-0.3432849178212875,
nu,10,0,2,-0.14806150590100176,
nu,10,1,0,-1.5551768511557162,
nu,10,1,1,-2.5428465711400987,
nu,10,1,2,9.719883476980545,
nu,10,2,0,1.4875153726578647,
nu,10,2,1,-0.8121407192160779,
nu,10,2,2,-2.0657624078953485,
nu,11,0,0,-1.0326894389475938,
nu,11,0,1,6.501760112952416,
nu,11,0,2,3.217966067573958,
nu,11,1,0,5.287305084136983,
nu,11,1,1,3.687135330189129,
nu,11,1,2,-4.065571756696649,
nu,11,2,0,3.2227949077480345,
nu,11,2,1,2.2651535538404177,
nu,11,2,2,-1.9775435111649542,
nu,12,0,0,2.7203739101830458,
nu,12,0,1,-0.5931588454400252,
nu,12,0,2,3.6576329733162196,
nu,12,1,0,-3.4390514233521072,
nu,12,1,1,-0.9368135624507264,
nu,12,1,2,3.115304738629929,
nu,12,2,0,0.1267411468665675,
nu,12,2,1,0.020517572560682373,
nu,12,2,2,-4.121265056922698,
nu,13,0,0,-2.1558901615279256,
nu,13,0,1,2.110271404463205,
nu,13,0,2,1.7408763522589932,
nu,13,1,0,5.327683220064078,
nu,13,1,1,5.065867424532392,
nu,13,1,2,0.9422526046932664,
nu,13,2,0,-1.2281417280219644,
nu,13,2,1,-0.14189254276081525,
nu,13,2,2,-0.477790949629849,
nu,14,0,0,5.001804906847499,
nu,14,0,1,-8.099337449242654,
nu,14,0,2,14.998346446231402,
nu,14,1,0,5.737358403188335,
nu,14,1,1,0.3746915715671808,
nu,14,1,2,-1.6093539618682944,
nu,14,2,0,-1.8142058327931925,
nu,14,2,1,-0.1441463033342109,
nu,14,2,2,-3.9407965709582324,
nu,15,0,0,-4.922050100902362,
nu,15,0,1,1.3304398196082339,
nu,15,0,2,-4.295373772088073,
nu,15,1,0,-1.3824133575522024,
nu,15,1,1,-3.3804577669727713,
nu,15,1,2,-0.7368585130473455,
nu,15,2,0,-0.8993528678908945,
nu,15,2,1,1.3997409167761405,
nu,15,2,2,-0.3674931399096046,
nu,16,0,0,15.756029877353352,
nu,16,0,1,0.6056178566015145,
nu,16,0,2,11.508184452517733,
nu,16,1,0,-4.964437528221961,
nu,16,1,1,3.3956666342276893,
nu,16,1,2,-0.2802389215646037,
nu,16,2,0,-3.3111519087772177,
nu,16,2,1,1.7602266538611517,
nu,16,2,2,-0.2938051094224088,
nu,17,0,0,9.545907323839154,
nu,17,0,1,0.4756399832656693,
nu,17,0,2,0.3532734610305839,
nu,17,1,0,2.5655281344443703,
nu,17,1,1,2.4706004378944613,
nu,17,1,2,-1.8662606778563728,
nu,17,2,0,-1.5674860231137258,
nu,17,2,1,0.9676096646818626,
nu,17,2,2,1.077340942418821,
nu,18,0,0,-0.5111041304263017,
nu,18,0,1,-3.9500702681255944,
nu,18,0,2,12.59480217428654,
nu,18,1,0,0.7235782302279008,
nu,18,1,1,-0.3028607649344548,
nu,18,1,2,1.0422142450450267,
nu,18,2,0,1.46419436838059,
nu,18,2,1,1.2211199946849622,
nu,18,2,2,1.3281314988223147,
nu,19,0,0,4.802792665810683,
nu,19,0,1,-0.7050089562111657,
nu,19,0,2,4.860105295914767,
nu,19,1,0,3.2476708112929655,
nu,19,1,1,-4.84868449816156,
nu,19,1,2,1.5950482232313599,
nu,19,2,0,-1.2891697289500321,
nu,19,2,1,-1.0256596458119542,
nu,19,2,2,0.6549415131021785,
nu,20,0,0,-7.237991667489894,
nu,20,0,1,2.6371852730490795,
nu,20,0,2,-23.290953053391757,
nu,20,1,0,-1.4921504703460513,
nu,20,1,1,-4.448885465038251,
nu,20,1,2,-4.026726953290543,
nu,20,2,0,-0.9928933703766819,
nu,20,2,1,0.5157703631493458,
nu,20,2,2,-3.6271193186736186,
nu,21,0,0,-6.595662238524653,
nu,21,0,1,-1.8018156480496608,
nu,21,0,2,-27.075047691249868,
nu,21,1,0,-0.8710340497215325,
nu,21,1,1,0.964080466044513,
nu,21,1,2,-3.167674580632038,
nu,21,2,0,-1.2055451746942998,
nu,21,2,1,0.7624693487035297,
nu,21,2,2,1.8540244622439646,
nu,22,0,0,11.690236885526968,
nu,22,0,1,1.3743510126735379,
nu,22,0,2,12.529985403653026,
nu,22,1,0,2.3857338335900655,
nu,22,1,1,5.675112836533616,
nu,22,1,2,2.195736062374869,
nu,22,2,0,-1.266969314112374,
nu,22,2,1,-0.08930008209537194,
nu,22,2,2,6.858312861969345,
nu,23,0,0,7.18174415882685,
nu,23,0,1,3.656594414246456,
nu,23,0,2,11.203252826590962,
nu,23,1,0,-0.7980933420776293,
nu,23,1,1,-5.935344157406467,
nu,23,1,2,9.863222525594278,
nu,23,2,0,0.1650400248532647,
nu,23,2,1,-0.6619588627244739,
nu,23,2,2,-7.8042866869902845,
nu,24,0,0,1.7599941843652156,
