var,u,r,c,val,id
R,,,,3,
C,,,,3,
U,,,,2774,
sigmanu,,,,0.1,
alpha,,,0,0.2,
alpha,,,1,-0.48,
alpha,,,2,0.28,
beta,,0,0,-0.15,
beta,,0,1,-0.43,
beta,,0,2,0.94,
beta,,1,0,0.01,
beta,,1,1,0.49,
beta,,1,2,-1.23,
beta,,2,0,0.14,
beta,,2,1,-0.06,
beta,,2,2,0.3,
nu,0,0,0,-0.07052753098930456,
nu,0,0,1,-0.08665196228184396,
nu,0,0,2,0.03490116522368969,
nu,0,1,0,-0.0642862356679892,
nu,0,1,1,0.08495281959541179,
nu,0,1,2,-0.023601617217156035,
nu,0,2,0,0.21505754158488238,
nu,0,2,1,-0.07846670925274074,
nu,0,2,2,0.057777687548973555,
nu,1,0,0,0.044128463015947555,
nu,1,0,1,0.05304149734596736,
nu,1,0,2,0.05228635906457324,
nu,1,1,0,0.11423035495114638,
nu,1,1,1,-0.07352212743482411,
nu,1,1,2,-0.15180781703224122,
nu,1,2,0,-0.04389103703043523,
nu,1,2,1,-0.07645810804342518,
nu,1,2,2,-0.1925156300872693,
nu,2,0,0,-0.08346818284362878,
nu,2,0,1,-0.009562672975544084,
nu,2,0,2,-0.010639623108882112,
nu,2,1,0,0.13791579568462092,
nu,2,1,1,0.09435573092200933,
nu,2,1,2,0.04956315760603425,
nu,2,2,0,0.10029391913378438,
nu,2,2,1,0.0029530644231242076,
nu,2,2,2,0.1167113138331975,
nu,3,0,0,-0.013887534783740468,
nu,3,0,1,0.11421725579139624,
nu,3,0,2,-0.007173093649459172,
nu,3,1,0,0.10439460716812927,
nu,3,1,1,-0.0909260946789564,
nu,3,1,2,-0.025815921434547917,
nu,3,2,0,-0.03107529076849197,
nu,3,2,1,-0.18347447104942022,
nu,3,2,2,0.03649686000743685,
nu,4,0,0,-0.06869778603625873,
nu,4,0,1,-0.025186901659419003,
nu,4,0,2,0.007993423909995911,
nu,4,1,0,0.06782156665283225,
nu,4,1,1,-0.030111675484481626,
nu,4,1,2,-0.18428202511559189,
nu,4,2,0,0.01995928589418111,
nu,4,2,1,-0.06089324831039861,
nu,4,2,2,0.023897701667730586,
nu,5,0,0,0.09378417980824483,
nu,5,0,1,0.2095969790334254,
nu,5,0,2,-0.010226432103524807,
nu,5,1,0,0.11137715263388571,
nu,5,1,1,0.07086283432239948,
nu,5,1,2,0.013559438898542941,
nu,5,2,0,-0.09320878883926736,
nu,5,2,1,-0.02667472549692601,
nu,5,2,2,0.02995153218690433,
nu,6,0,0,0.10322514380758693,
nu,6,0,1,0.00868959461464941,
nu,6,0,2,-0.07903058899806736,
nu,6,1,0,0.03310798570322138,
nu,6,1,1,-0.15405096567247356,
nu,6,1,2,-0.10552330471341653,
nu,6,2,0,0.2816092343379338,
nu,6,2,1,0.11270961327601609,
nu,6,2,2,0.12744597206700298,
nu,7,0,0,0.07324150578351413,
nu,7,0,1,0.09000690637817882,
nu,7,0,2,0.031804455178658486,
nu,7,1,0,-0.013296119408373488,
nu,7,1,1,0.006343293512570125,
nu,7,1,2,-0.10372744832601044,
nu,7,2,0,-0.02182506643332427,
nu,7,2,1,-0.01737935073130209,
nu,7,2,2,-0.15286823825258106,
nu,8,0,0,0.07702996380790583,
nu,8,0,1,-0.09802064595111498,
nu,8,0,2,0.06260021659376735,
nu,8,1,0,0.05207992000004819,
nu,8,1,1,-0.13588403576177216,
nu,8,1,2,-0.03331320940335636,
nu,8,2,0,-0.03740658889878534,
nu,8,2,1,-0.17059604764427144,
nu,8,2,2,0.03216319750580904,
nu,9,0,0,-0.04153827239490143,
nu,9,0,1,0.04507431859969463,
nu,9,0,2,0.05587006030446795,
nu,9,1,0,-0.13127407509178196,
nu,9,1,1,-0.1063340256285315,
nu,9,1,2,0.04721398270007926,
nu,9,2,0,0.06625925614253675,
nu,9,2,1,-0.07175777957666368,
nu,9,2,2,0.008620398241419747,
nu,10,0,0,0.19132138598718765,
nu,10,0,1,-0.03665987142835231,
nu,10,0,2,0.04770936874740528,
nu,10,1,0,-0.07978523779040446,
nu,10,1,1,-0.06623649097545176,
nu,10,1,2,-0.13108445585765027,
nu,10,2,0,-0.10917902143864158,
nu,10,2,1,-0.03476031630296467,
nu,10,2,2,0.12854177148575768,
nu,11,0,0,0.008203105636783808,
nu,11,0,1,0.08186288530444769,
nu,11,0,2,0.05716607234288262,
nu,11,1,0,0.04081391060235679,
nu,11,1,1,-0.06665761909783258,
nu,11,1,2,0.010643918008915954,
nu,11,2,0,0.027042456832405748,
nu,11,2,1,0.012252517189607903,
nu,11,2,2,-0.0283322020082854,
nu,12,0,0,0.06665373648700432,
nu,12,0,1,0.10211470538727524,
nu,12,0,2,0.113503944177751,
nu,12,1,0,-0.1178592573069383,
nu,12,1,1,-0.002822402727905071,
nu,12,1,2,0.2518931000971568,
nu,12,2,0,0.2579200105388945,
nu,12,2,1,0.06761042838201353,
nu,12,2,2,-0.09769060914672106,
nu,13,0,0,-0.04085924103217589,
nu,13,0,1,-0.04012854234856006,
nu,13,0,2,-0.1953908980491501,
nu,13,1,0,-0.15797364541029943,
nu,13,1,1,0.026269516530964543,
nu,13,1,2,0.017384697513888714,
nu,13,2,0,-0.053706063355301425,
nu,13,2,1,0.15242351783962638,
nu,13,2,2,-0.053357487527974035,
nu,14,0,0,0.003008124223710551,
nu,14,0,1,-0.06555159175967923,
nu,14,0,2,-0.08352904026419705,
nu,14,1,0,-0.06924461255417792,
nu,14,1,1,-0.06919856567272886,
nu,14,1,2,-0.022764449156394306,
nu,14,2,0,-0.013182046461294672,
nu,14,2,1,0.08948552476285554,
nu,14,2,2,0.07063945208345374,
nu,15,0,0,-0.09488873953627111,
nu,15,0,1,0.01326652736068129,
nu,15,0,2,-0.03000327694733418,
nu,15,1,0,0.01234733525192284,
nu,15,1,1,0.05841323751619232,
nu,15,1,2,-0.0034821290404851712,
nu,15,2,0,0.16002922533275737,
nu,15,2,1,0.09782691578265001,
nu,15,2,2,-0.007704726873309864,
nu,16,0,0,-0.1218316134701605,
nu,16,0,1,0.05095133611689745,
nu,16,0,2,0.08203404593924701,
nu,16,1,0,-0.004654169687815698,
nu,16,1,1,0.06319683169561219,
nu,16,1,2,0.007040755690318701,
nu,16,2,0,-0.052858369868788946,
nu,16,2,1,0.09031868337905757,
nu,16,2,2,-0.07688667823423295,
nu,17,0,0,0.037719409364332934,
nu,17,0,1,0.02449639770167461,
nu,17,0,2,0.17066639984235654,
nu,17,1,0,-0.0069080771970859624,
nu,17,1,1,-0.23357167668306367,
nu,17,1,2,0.1773905539646008,
nu,17,2,0,0.020355040650610945,
nu,17,2,1,0.06650827027368716,
nu,17,2,2,0.060392913253614455,
nu,18,0,0,-0.008753522487868204,
nu,18,0,1,0.006291468956893753,
nu,18,0,2,-0.00938964245776619,
nu,18,1,0,-0.010084964842083951,
nu,18,1,1,0.04323654120931586,
nu,18,1,2,0.03591260925020512,
nu,18,2,0,-0.03041951152293859,
nu,18,2,1,0.03892922214233757,
nu,18,2,2,0.07828809669007736,
nu,19,0,0,-0.13977554323891286,
nu,19,0,1,0.023535649846814055,
nu,19,0,2,0.031029354795056197,
nu,19,1,0,0.08806017097778447,
nu,19,1,1,0.12979696266139795,
nu,19,1,2,-0.0020650161303210623,
nu,19,2,0,-0.02140022882239051,
nu,19,2,1,-0.13529138522955614,
nu,19,2,2,-0.0886863760773991,
nu,20,0,0,0.2818674771988997,
nu,20,0,1,0.04643356169699192,
nu,20,0,2,0.012503930417164577,
nu,20,1,0,0.14827928598973,
nu,20,1,1,-0.008727330536798139,
nu,20,1,2,-0.0012711787039498823,
nu,20,2,0,-0.06686509015418696,
nu,20,2,1,-0.17643119287836867,
nu,20,2,2,-0.025181630410078648,
nu,21,0,0,0.058111663825110044,
nu,21,0,1,-0.12270632287677014,
nu,21,0,2,0.005459347082187538,
nu,21,1,0,0.020450595242256127,
nu,21,1,1,0.051439224091240465,
nu,21,1,2,0.10065696884755715,
nu,21,2,0,0.11991629902202083,
nu,21,2,1,-0.0019608608341082356,
nu,21,2,2,0.24440798526098934,
nu,22,0,0,0.08707126677722588,
nu,22,0,1,0.04884006606767616,
nu,22,0,2,0.2567660193583583,
nu,22,1,0,0.14476357284315805,
nu,22,1,1,0.006907775556313278,
nu,22,1,2,0.10782453916249723,
nu,22,2,0,0.1691995324344034,
nu,22,2,1,0.07325873370749453,
nu,22,2,2,0.14588016380522634,
nu,23,0,0,0.0175905137757969,
nu,23,0,1,-0.04796340341893207,
nu,23,0,2,0.1958238616477721,
nu,23,1,0,-0.0710821551364016,
nu,23,1,1,-0.024147783106477638,
nu,23,1,2,-0.11152012114994192,
