var,u,r,c,val,id
R,,,,3,
C,,,,3,
U,,,,527,
sigmanu,,,,0.3,
alpha,,,0,0.2,
alpha,,,1,-0.48,
alpha,,,2,0.28,
beta,,0,0,-0.15,
beta,,0,1,-0.43,
beta,,0,2,0.94,
beta,,1,0,0.01,
beta,,1,1,0.49,
beta,,1,2,-1.23,
beta,,2,0,0.14,
beta,,2,1,-0.06,
beta,,2,2,0.3,
nu,0,0,0,-0.01713969720490227,
nu,0,0,1,0.10101338798160225,
nu,0,0,2,0.3400243195338122,
nu,0,1,0,-0.700879031185941,
nu,0,1,1,-0.3832723544070507,
nu,0,1,2,-0.012052656262313555,
nu,0,2,0,0.314644889376736,
nu,0,2,1,-0.5717380902140412,
nu,0,2,2,-0.17279169351685625,
nu,1,0,0,-0.3235315641418983,
nu,1,0,1,0.21241563693309967,
nu,1,0,2,-0.4495607838333118,
nu,1,1,0,0.36055825174033856,
nu,1,1,1,-0.4618288066086803,
nu,1,1,2,0.3363066737132586,
nu,1,2,0,-0.1674815428237104,
nu,1,2,1,-0.7637683593978855,
nu,1,2,2,-0.03753719245913972,
nu,2,0,0,-0.10620516152932849,
nu,2,0,1,0.03292349073594231,
nu,2,0,2,0.09056657653551459,
nu,2,1,0,-0.08977911986010535,
nu,2,1,1,0.20103155995581956,
nu,2,1,2,-0.13211101147215554,
nu,2,2,0,-0.004690434319628123,
nu,2,2,1,0.16892695424110132,
nu,2,2,2,0.6086796620528885,
nu,3,0,0,-0.2531685454383943,
nu,3,0,1,0.12156404249077807,
nu,3,0,2,0.015240116924708724,
nu,3,1,0,0.07773372684727,
nu,3,1,1,-0.0912999966185104,
nu,3,1,2,0.07386446313129458,
nu,3,2,0,-0.2900577339265106,
nu,3,2,1,0.8037348248235905,
nu,3,2,2,0.43811447251253616,
nu,4,0,0,0.36531223859842077,
nu,4,0,1,0.33454250403908,
nu,4,0,2,0.429703228298161,
nu,4,1,0,-0.47608634911650544,
nu,4,1,1,0.21422338801842788,
nu,4,1,2,-0.154725531308332,
nu,4,2,0,0.3562999299310137,
nu,4,2,1,-0.03880385696062333,
nu,4,2,2,-0.19755384067255005,
nu,5,0,0,0.8027578286977949,
nu,5,0,1,0.3640959503350863,
nu,5,0,2,-0.2396317667113137,
nu,5,1,0,0.11917610247547246,
nu,5,1,1,-0.04706667869013692,
nu,5,1,2,-0.44000567770451915,
nu,5,2,0,-0.7385499521952689,
nu,5,2,1,0.07944875794772893,
nu,5,2,2,-0.4081140855128314,
nu,6,0,0,-0.4765516439489118,
nu,6,0,1,0.06098407585544191,
nu,6,0,2,0.06080564116216691,
nu,6,1,0,-0.12333372249123449,
nu,6,1,1,-0.6259499365957722,
nu,6,1,2,-0.20832317249252674,
nu,6,2,0,0.246163069381292,
nu,6,2,1,0.3689527017926169,
nu,6,2,2,0.3101396443237186,
nu,7,0,0,-0.553885955314347,
nu,7,0,1,-0.14305044245406145,
nu,7,0,2,-0.06406701345937749,
nu,7,1,0,-0.3229559144668998,
nu,7,1,1,-0.3751254685590042,
nu,7,1,2,-0.14139160020094965,
nu,7,2,0,-0.16872426840886287,
nu,7,2,1,-0.3584277347352011,
nu,7,2,2,0.16177178470014592,
nu,8,0,0,-0.3551493428814386,
nu,8,0,1,0.28554650520079977,
nu,8,0,2,0.2009808828988886,
nu,8,1,0,0.5976332836223601,
nu,8,1,1,-0.09666402836764415,
nu,8,1,2,0.1248032746999781,
nu,8,2,0,0.006386659733537192,
nu,8,2,1,0.14817910643053905,
nu,8,2,2,0.025853819684627022,
nu,9,0,0,-0.2583199531423097,
nu,9,0,1,-0.28011910277017565,
nu,9,0,2,0.28946439497438026,
nu,9,1,0,0.1460932013704826,
nu,9,1,1,0.3698203514957472,
nu,9,1,2,0.11213464328519573,
nu,9,2,0,-0.2089475594341104,
nu,9,2,1,0.08773478990327566,
nu,9,2,2,-0.4513306270765666,
nu,10,0,0,-0.5186875178444733,
nu,10,0,1,0.3502994998633067,
nu,10,0,2,-0.4522452997837798,
nu,10,1,0,-0.24450593699057377,
nu,10,1,1,-0.06334515675934255,
nu,10,1,2,-0.047792240900455196,
nu,10,2,0,-0.14147307859187944,
nu,10,2,1,0.06974822480280979,
nu,10,2,2,-0.010399157221728295,
nu,11,0,0,0.1006235313858781,
nu,11,0,1,-0.03665717548237818,
nu,11,0,2,0.02233887322121486,
nu,11,1,0,0.0813974514262439,
nu,11,1,1,0.23591483394340607,
nu,11,1,2,-0.1900065268631912,
nu,11,2,0,0.10555452265519477,
nu,11,2,1,-0.14391505578560487,
nu,11,2,2,-0.4946977374265383,
nu,12,0,0,-0.06393467322469834,
nu,12,0,1,0.3232483154802382,
nu,12,0,2,-0.24419135030597172,
nu,12,1,0,-0.037698919766561916,
nu,12,1,1,-0.5834903936238425,
nu,12,1,2,0.10428295845248714,
nu,12,2,0,0.3312272670465635,
nu,12,2,1,0.14878957658594527,
nu,12,2,2,0.3515051465302644,
nu,13,0,0,0.3017400096476893,
nu,13,0,1,0.15349459816650063,
nu,13,0,2,-0.07458385886834518,
nu,13,1,0,0.37513079823679,
nu,13,1,1,0.028365662604667108,
nu,13,1,2,-0.35467636658476254,
nu,13,2,0,-0.05933965908350164,
nu,13,2,1,-0.32940295023757565,
nu,13,2,2,-0.42973129636252655,
nu,14,0,0,-0.02046794259159654,
nu,14,0,1,-0.546830743947549,
nu,14,0,2,0.6020460441593258,
nu,14,1,0,0.6010871866312666,
nu,14,1,1,0.22373729550659216,
nu,14,1,2,-0.09380386834542054,
nu,14,2,0,-0.2526061292122651,
nu,14,2,1,-0.1587456471985635,
nu,14,2,2,0.4515086576251484,
nu,15,0,0,0.32962246383664207,
nu,15,0,1,-0.25921093689913816,
nu,15,0,2,0.7578900559730879,
nu,15,1,0,-0.26729045211925573,
nu,15,1,1,-0.11930041922534784,
nu,15,1,2,0.05297072837669847,
nu,15,2,0,-0.13924920105253263,
nu,15,2,1,-0.041813876750440626,
nu,15,2,2,-0.569210849511137,
nu,16,0,0,-0.06305859194027338,
nu,16,0,1,0.150941975876477,
nu,16,0,2,0.3598627369095333,
nu,16,1,0,0.5942615792530765,
nu,16,1,1,-0.21471404816462059,
nu,16,1,2,-0.03702412121257925,
nu,16,2,0,0.7672168784437231,
nu,16,2,1,0.13235660304859226,
nu,16,2,2,-0.020094251416175102,
nu,17,0,0,0.1290434410985515,
nu,17,0,1,0.34886330287851236,
nu,17,0,2,0.009587912401891607,
nu,17,1,0,-0.07606729003549122,
nu,17,1,1,-0.11373271613971725,
nu,17,1,2,0.20634047868759176,
nu,17,2,0,-0.3125787706828778,
nu,17,2,1,0.045404766060637314,
nu,17,2,2,-0.08397669131592428,
nu,18,0,0,0.28473079696667536,
nu,18,0,1,-0.45245614494040337,
nu,18,0,2,0.3822014451296234,
nu,18,1,0,0.6212989098990462,
nu,18,1,1,-0.02687780560084735,
nu,18,1,2,0.0005961761386164,
nu,18,2,0,-0.0501506375400142,
nu,18,2,1,-0.2219623599936446,
nu,18,2,2,-0.2784332998643064,
nu,19,0,0,-0.05405124606641684,
nu,19,0,1,-0.050670319466652736,
nu,19,0,2,0.20933018302892847,
nu,19,1,0,0.040548933454392706,
nu,19,1,1,0.28712697193821257,
nu,19,1,2,-0.06060971934564208,
nu,19,2,0,-0.13004250599634756,
nu,19,2,1,-0.10811209989547316,
nu,19,2,2,-0.0691242595600004,
nu,20,0,0,-0.28214304192713735,
nu,20,0,1,0.2842646505868151,
nu,20,0,2,-0.11216527643749163,
nu,20,1,0,0.08115337770440186,
nu,20,1,1,-0.06364837784788357,
nu,20,1,2,-0.2105049922855491,
nu,20,2,0,-0.04520358158044069,
nu,20,2,1,-0.052335698455033886,
nu,20,2,2,-0.2662980341545525,
nu,21,0,0,0.017920854609868392,
nu,21,0,1,-0.1400660528670689,
nu,21,0,2,-0.4848708655646419,
nu,21,1,0,0.6307358855302652,
nu,21,1,1,0.03161284374147344,
nu,21,1,2,0.18931224680117698,
nu,21,2,0,0.246552050589461,
nu,21,2,1,-0.02416452652585438,
nu,21,2,2,0.5680582049661385,
nu,22,0,0,-0.06871351909775333,
nu,22,0,1,-0.024994454741034622,
nu,22,0,2,0.526593062489491,
nu,22,1,0,-0.20578955862241066,
nu,22,1,1,-0.44550725003420655,
nu,22,1,2,-0.2478772508994571,
nu,22,2,0,0.2263065602622722,
nu,22,2,1,0.3210935719371284,
nu,22,2,2,0.20887898478854322,
nu,23,0,0,0.003084592112498591,
nu,23,0,1,-0.40767316095811007,
nu,23,0,2,-0.3372714380575381,
nu,23,1,0,0.4025726924474033,
nu,23,1,1,0.027302323808180762,
nu,23,1,2,0.1888566008070487,
