var,u,r,c,val,id
R,,,,3,
C,,,,3,
U,,,,527,
sigmanu,,,,0.001,
sigmabeta,,,,27.426073879940247,
alpha,,,0,0.2,
alpha,,,1,-0.48,
alpha,,,2,0.28,
beta,,0,0,-0.15,
beta,,0,1,-0.43,
beta,,0,2,0.94,
beta,,1,0,0.01,
beta,,1,1,0.49,
beta,,1,2,-1.23,
beta,,2,0,0.14,
beta,,2,1,-0.06,
beta,,2,2,0.3,
nu,0,0,0,0.0008847803031623303,
nu,0,0,1,-0.0010662074247908548,
nu,0,0,2,0.00015351883531544708,
nu,0,1,0,-0.0006332746088674925,
nu,0,1,1,-0.0012609246557194198,
nu,0,1,2,-0.0007269510620653286,
nu,0,2,0,-1.996475090776384e-05,
nu,0,2,1,0.00021029989010162842,
nu,0,2,2,0.0007294783403562488,
nu,1,0,0,-0.0001603112232428372,
nu,1,0,1,0.0010111892074660678,
nu,1,0,2,-0.00024267938245881027,
nu,1,1,0,-0.0007730112772958066,
nu,1,1,1,-0.001595181488078301,
nu,1,1,2,-0.0006870036940433977,
nu,1,2,0,0.0014880743158106613,
nu,1,2,1,0.0005199986631789222,
nu,1,2,2,-0.0009528856397032492,
nu,2,0,0,-9.174174090817444e-05,
nu,2,0,1,0.000556322772448381,
nu,2,0,2,-9.446277892566357e-06,
nu,2,1,0,-0.0012176877791068488,
nu,2,1,1,-0.0012654653080285128,
nu,2,1,2,-0.0011195351830270983,
nu,2,2,0,-0.001746404903728238,
nu,2,2,1,0.001041012457033419,
nu,2,2,2,0.0006539244967351254,
nu,3,0,0,0.00014821544548809795,
nu,3,0,1,-0.0011461092231975223,
nu,3,0,2,0.0018727763768553451,
nu,3,1,0,-0.00030991497424172863,
nu,3,1,1,0.0002401802340378234,
nu,3,1,2,0.00036904473680410277,
nu,3,2,0,-0.00018720219329759757,
nu,3,2,1,-0.003145296273123155,
nu,3,2,2,-0.0001137312775759125,
nu,4,0,0,0.001696202480514386,
nu,4,0,1,-0.0006652034805380569,
nu,4,0,2,-0.00058722259835986,
nu,4,1,0,0.0028321041675111545,
nu,4,1,1,-0.0019612416841433555,
nu,4,1,2,0.00022092437177234636,
nu,4,2,0,-0.0013809366518587884,
nu,4,2,1,-0.0020547510174380723,
nu,4,2,2,4.757655385029258e-05,
nu,5,0,0,-0.00038556879759335527,
nu,5,0,1,-0.00027503491919206313,
nu,5,0,2,0.0008865896300911391,
nu,5,1,0,0.0001446690147604377,
nu,5,1,1,0.0010741717182580768,
nu,5,1,2,-0.0011287986398000882,
nu,5,2,0,-9.376858138315791e-05,
nu,5,2,1,0.0009983435794511109,
nu,5,2,2,-8.262167465139525e-05,
nu,6,0,0,0.0001825319491801647,
nu,6,0,1,0.0009509038124936864,
nu,6,0,2,-0.0005787436085078479,
nu,6,1,0,-0.0034796352415709855,
nu,6,1,1,0.0007494883300194766,
nu,6,1,2,-0.0005605552140988124,
nu,6,2,0,7.424681473466865e-05,
nu,6,2,1,0.001993645727136395,
nu,6,2,2,0.00044986533984464616,
nu,7,0,0,0.001553145389851962,
nu,7,0,1,-0.0008913456059944092,
nu,7,0,2,-0.0004465437323135646,
nu,7,1,0,-0.0007012303945657852,
nu,7,1,1,0.00032625579628753343,
nu,7,1,2,-0.0008738640219900784,
nu,7,2,0,0.00039412699987384503,
nu,7,2,1,0.0008915170821380269,
nu,7,2,2,0.001173155515832025,
nu,8,0,0,-0.0007565746668125872,
nu,8,0,1,0.0003686731185758574,
nu,8,0,2,-0.00017265368084573574,
nu,8,1,0,0.0009751203451810828,
nu,8,1,1,0.0004164541966116819,
nu,8,1,2,-0.0004986513835421036,
nu,8,2,0,-0.0004754698199105345,
nu,8,2,1,0.00028634406331756734,
nu,8,2,2,-0.0006874477235062071,
nu,9,0,0,-0.0005752442046248751,
nu,9,0,1,-0.0005918823592164224,
nu,9,0,2,0.0006195092629710519,
nu,9,1,0,-0.0014872950971304057,
nu,9,1,1,0.001362682380804281,
nu,9,1,2,0.0004188191254195228,
nu,9,2,0,0.000343414878097581,
nu,9,2,1,-0.0014000031334477359,
nu,9,2,2,-0.0002367517803568142,
nu,10,0,0,0.00020710026569895068,
nu,10,0,1,-0.00011727393443189404,
nu,10,0,2,-1.7436740784582128e-05,
nu,10,1,0,-0.00024317130976863298,
nu,10,1,1,-0.00043942236360683395,
nu,10,1,2,0.0027144660166018575,
nu,10,2,0,0.0004313021544483653,
nu,10,2,1,-0.00036562932670253234,
nu,10,2,2,-0.0005312331855486518,
nu,11,0,0,-0.00013408449243235143,
nu,11,0,1,0.0013642724524235983,
nu,11,0,2,0.00023277053517434254,
nu,11,1,0,0.0011064458833206312,
nu,11,1,1,0.0008527354795918596,
nu,11,1,2,-0.00151952635511865,
nu,11,2,0,0.001021618586553863,
nu,11,2,1,0.0011149190519421093,
nu,11,2,2,-0.0005559898033654087,
nu,12,0,0,0.000533168708750309,
nu,12,0,1,-0.00018787474948228633,
nu,12,0,2,0.0003993685890597565,
nu,12,1,0,-0.0006760874461803814,
nu,12,1,1,-0.00020353861724647926,
nu,12,1,2,0.0010938443736923098,
nu,12,2,0,5.341919427959141e-05,
nu,12,2,1,1.342750276916993e-05,
nu,12,2,2,-0.0015406177939387145,
nu,13,0,0,-0.0004819087554044088,
nu,13,0,1,0.0007623209434576839,
nu,13,0,2,0.0002167922936175959,
nu,13,1,0,0.0008330497625994669,
nu,13,1,1,0.0008754186991348778,
nu,13,1,2,0.0002631423185834869,
nu,13,2,0,-0.0004053288789024889,
nu,13,2,1,-7.271235379519014e-05,
nu,13,2,2,-0.00013985617336859102,
nu,14,0,0,0.0007859954593503748,
nu,14,0,1,-0.002056857165088133,
nu,14,0,2,0.0013130292416811962,
nu,14,1,0,0.001295030340312123,
nu,14,1,1,9.346980467839217e-05,
nu,14,1,2,-0.0006487992451336133,
nu,14,2,0,-0.0006790958846490391,
nu,14,2,1,-8.377947239718297e-05,
nu,14,2,2,-0.0013083177047570893,
nu,15,0,0,-0.0014173973368346582,
nu,15,0,1,0.0006191589690205945,
nu,15,0,2,-0.000689103207627273,
nu,15,1,0,-0.0004117908858856014,
nu,15,1,1,-0.0011128682991908834,
nu,15,1,2,-0.00039202495491985623,
nu,15,2,0,-0.0004522967443547632,
nu,15,2,1,0.001093026188941859,
nu,15,2,2,-0.0001639182226411129,
nu,16,0,0,0.002197642705323327,
nu,16,0,1,0.00013651183776958176,
nu,16,0,2,0.0008942415239487911,
nu,16,1,0,-0.00196641879112471,
nu,16,1,1,0.0014864847606394505,
nu,16,1,2,-0.00019825548808927174,
nu,16,2,0,-0.0016795171874434134,
nu,16,2,1,0.0013863200736887182,
nu,16,2,2,-0.00013217501036616452,
nu,17,0,0,0.0014505092414462406,
nu,17,0,1,0.00011680004036679348,
nu,17,0,2,2.990556608550854e-05,
nu,17,1,0,0.0008536195134028566,
nu,17,1,1,0.0009084886688785487,
nu,17,1,2,-0.0011090488038574264,
nu,17,2,0,-0.0006245383245606084,
nu,17,2,1,0.0005986116799079899,
nu,17,2,2,0.00038070908769510803,
nu,18,0,0,-0.00010303497974092912,
nu,18,0,1,-0.0012868901361559604,
nu,18,0,2,0.0014145046448861276,
nu,18,1,0,0.00044728474523828866,
nu,18,1,1,-0.00020690503425652151,
nu,18,1,2,0.0011506583648124291,
nu,18,2,0,0.000999868960616268,
nu,18,2,1,0.00129476892904562,
nu,18,2,2,0.0008043963540244614,
nu,19,0,0,0.0009072091619347633,
nu,19,0,1,-0.00021521353161096934,
nu,19,0,2,0.0005114427131935884,
nu,19,1,0,0.0008077315643111958,
nu,19,1,1,-0.0013327491869404295,
nu,19,1,2,0.0007085323264930388,
nu,19,2,0,-0.0006684715851233425,
nu,19,2,1,-0.0008257825337351643,
nu,19,2,2,0.00030120351315360283,
nu,20,0,0,-0.0008903969380417986,
nu,20,0,1,0.0005242851685621219,
nu,20,0,2,-0.001596211984208784,
nu,20,1,0,-0.00032192015515072024,
nu,20,1,1,-0.0010607577697273607,
nu,20,1,2,-0.001551595564439845,
nu,20,2,0,-0.0003147449188293794,
nu,20,2,1,0.0002538645573618159,
nu,20,2,2,-0.00101977091547506,
nu,21,0,0,-0.0009778113722019588,
nu,21,0,1,-0.00043168641522567386,
nu,21,0,2,-0.002236163914116851,
nu,21,1,0,-0.00026976220023132956,
nu,21,1,1,0.0003299808176367436,
nu,21,1,2,-0.001752174363636616,
nu,21,2,0,-0.0004950296333605109,
nu,21,2,1,0.00048613811203018775,
nu,21,2,2,0.0006752239379336777,
nu,22,0,0,0.0016210224842830578,
nu,22,0,1,0.0003079815818363696,
nu,22,0,2,0.0009679524430945552,
nu,22,1,0,0.0005162275408780812,
