var,u,r,c,val,id
R,,,,3,
C,,,,3,
U,,,,2774,
sigmanu,,,,0.3,
sigmabeta,,,,0.6189159347011702,
alpha,,,0,0.2,
alpha,,,1,-0.48,
alpha,,,2,0.28,
beta,,0,0,-0.15,
beta,,0,1,-0.43,
beta,,0,2,0.94,
beta,,1,0,0.01,
beta,,1,1,0.49,
beta,,1,2,-1.23,
beta,,2,0,0.14,
beta,,2,1,-0.06,
beta,,2,2,0.3,
nu,0,0,0,0.06771004086517979,
nu,0,0,1,-0.11266824106521461,
nu,0,0,2,-0.006213396642167135,
nu,0,1,0,-0.1517501614871714,
nu,0,1,1,0.23174651677610814,
nu,0,1,2,0.4891350140189604,
nu,0,2,0,-0.1039797660567679,
nu,0,2,1,0.1194574353835956,
nu,0,2,2,0.25372581158646385,
nu,1,0,0,-0.34788920679864044,
nu,1,0,1,-0.08900624390545459,
nu,1,0,2,0.2962564298399937,
nu,1,1,0,-0.019789140818404653,
nu,1,1,1,0.38125599967430446,
nu,1,1,2,0.12811120117177577,
nu,1,2,0,0.1525748044042688,
nu,1,2,1,0.013179346648236667,
nu,1,2,2,-0.3012799180526304,
nu,2,0,0,-0.25237488696235755,
nu,2,0,1,0.010718209244067689,
nu,2,0,2,-0.5593835246221097,
nu,2,1,0,-0.4620436660591247,
nu,2,1,1,-0.38669811644741264,
nu,2,1,2,0.0627565877380285,
nu,2,2,0,0.29526206157018425,
nu,2,2,1,-0.3680454787271595,
nu,2,2,2,-0.15635434353192207,
nu,3,0,0,0.3638370576901957,
nu,3,0,1,-0.4171217796597166,
nu,3,0,2,0.23201183404169634,
nu,3,1,0,-0.7058105537971434,
nu,3,1,1,0.0581684730200378,
nu,3,1,2,0.1755669512835496,
nu,3,2,0,0.10071804786608374,
nu,3,2,1,0.8274666259887875,
nu,3,2,2,-0.019627981701482,
nu,4,0,0,-0.16194750614486755,
nu,4,0,1,0.05258423206136548,
nu,4,0,2,-0.22192200778978455,
nu,4,1,0,-0.41637182455173044,
nu,4,1,1,-0.757811434257273,
nu,4,1,2,0.018291023765851122,
nu,4,2,0,0.40534599911406255,
nu,4,2,1,0.39195299437945513,
nu,4,2,2,-0.5754347360710064,
nu,5,0,0,-0.005743047668319012,
nu,5,0,1,0.255671425660774,
nu,5,0,2,0.2732946794780817,
nu,5,1,0,-0.06615783073898913,
nu,5,1,1,0.3424952950979847,
nu,5,1,2,0.06764905102222674,
nu,5,2,0,0.2541730824474627,
nu,5,2,1,0.7428374575610937,
nu,5,2,2,-0.08292166433730808,
nu,6,0,0,-0.23019485906840645,
nu,6,0,1,-0.162164186596031,
nu,6,0,2,-0.23437983377164073,
nu,6,1,0,-0.17936822484195694,
nu,6,1,1,0.4358526924538002,
nu,6,1,2,-0.08093436667656295,
nu,6,2,0,-0.15692318719820575,
nu,6,2,1,0.36187643059877167,
nu,6,2,2,-0.06059554921514215,
nu,7,0,0,0.20069788010839276,
nu,7,0,1,-0.13442711615959352,
nu,7,0,2,0.14221911591437997,
nu,7,1,0,-0.41568362200901104,
nu,7,1,1,0.2604439284832918,
nu,7,1,2,0.05166045710581857,
nu,7,2,0,0.06730476079497988,
nu,7,2,1,0.6127005896048732,
nu,7,2,2,-0.5064798700800375,
nu,8,0,0,0.04896939696697472,
nu,8,0,1,-0.28119972205719196,
nu,8,0,2,-0.18335229223748128,
nu,8,1,0,0.2726499273817756,
nu,8,1,1,-0.15299848082714068,
nu,8,1,2,-0.1382084006135882,
nu,8,2,0,-0.20615741018322706,
nu,8,2,1,-0.3265646574489927,
nu,8,2,2,-0.23021220276555515,
nu,9,0,0,-0.3219271577821532,
nu,9,0,1,-0.3079154770962666,
nu,9,0,2,0.1129698066384135,
nu,9,1,0,0.09563346626813392,
nu,9,1,1,0.14987203043626596,
nu,9,1,2,0.36861945490519066,
nu,9,2,0,0.5582652874297832,
nu,9,2,1,-0.17579046732941755,
nu,9,2,2,-0.3479540949293045,
nu,10,0,0,-0.33931521944882137,
nu,10,0,1,-0.24690220019883585,
nu,10,0,2,-0.1924421515468746,
nu,10,1,0,0.32624960343842585,
nu,10,1,1,0.00553376176933662,
nu,10,1,2,0.5773577572169369,
nu,10,2,0,-0.16662729897098574,
nu,10,2,1,0.0591345275671562,
nu,10,2,2,0.2395949135101298,
nu,11,0,0,-0.15256540583187575,
nu,11,0,1,-0.1274084899040961,
nu,11,0,2,-0.323760422342797,
nu,11,1,0,-0.14015510135119025,
nu,11,1,1,0.03967257067865948,
nu,11,1,2,-0.003573408426146507,
nu,11,2,0,-0.054994615605091224,
nu,11,2,1,-0.46713648515706235,
nu,11,2,2,0.2353091654049711,
nu,12,0,0,-0.2961094365621393,
nu,12,0,1,0.0713628060620159,
nu,12,0,2,-0.0843088136065655,
nu,12,1,0,0.2843390347070382,
nu,12,1,1,0.025422149773299263,
nu,12,1,2,-0.4456158728555142,
nu,12,2,0,0.0976012245985079,
nu,12,2,1,0.5527109043365253,
nu,12,2,2,-0.10725233886667546,
nu,13,0,0,0.002516211138575697,
nu,13,0,1,0.3354137430474325,
nu,13,0,2,-0.016616190265599018,
nu,13,1,0,0.5953514901427348,
nu,13,1,1,-0.3839458963055014,
nu,13,1,2,-0.1396117349203292,
nu,13,2,0,0.23719363976802094,
nu,13,2,1,-0.19648112959925107,
nu,13,2,2,0.2252353607232292,
nu,14,0,0,0.32146184948087764,
nu,14,0,1,-0.5936933439382146,
nu,14,0,2,-0.3798835864658183,
nu,14,1,0,0.5051528094210349,
nu,14,1,1,-0.1782823651573071,
nu,14,1,2,0.014562746052563469,
nu,14,2,0,-0.14380236645087954,
nu,14,2,1,-0.06804820581576204,
nu,14,2,2,0.14543529513134518,
nu,15,0,0,0.3552105224358989,
nu,15,0,1,-0.5028577013720161,
nu,15,0,2,0.49763521065501926,
nu,15,1,0,-0.09720960457604245,
nu,15,1,1,0.31696067842483266,
nu,15,1,2,-0.17561821196300276,
nu,15,2,0,0.21520640597505342,
nu,15,2,1,-0.1364587279945652,
nu,15,2,2,0.15075086001957955,
nu,16,0,0,0.14198037094345653,
nu,16,0,1,-0.27513389046587483,
nu,16,0,2,-0.8073249576997712,
nu,16,1,0,-0.7132044670435196,
nu,16,1,1,-0.03322299446525645,
nu,16,1,2,-0.04303408769997685,
nu,16,2,0,0.47749845360338516,
nu,16,2,1,0.022677606164251463,
nu,16,2,2,0.3402611938774068,
nu,17,0,0,0.2018531854078939,
nu,17,0,1,-0.4245568095704348,
nu,17,0,2,-0.17296838599760922,
nu,17,1,0,-0.2294729099419366,
nu,17,1,1,0.3192323366992431,
nu,17,1,2,0.43526596913960003,
nu,17,2,0,0.06943328084656625,
nu,17,2,1,-0.15929448044689248,
nu,17,2,2,-0.050528540521255605,
nu,18,0,0,0.27517682564348944,
nu,18,0,1,0.039782654628227,
nu,18,0,2,0.06167639390829516,
nu,18,1,0,0.10834832827558778,
nu,18,1,1,0.18591904134231274,
nu,18,1,2,-0.23078150292155075,
nu,18,2,0,-0.239361582624522,
nu,18,2,1,0.10448877467229167,
nu,18,2,2,-0.38724204253607386,
nu,19,0,0,0.25839007448716955,
nu,19,0,1,0.4324845456837496,
nu,19,0,2,0.2978338643826546,
nu,19,1,0,-0.22053820978768238,
nu,19,1,1,-0.09461827588935617,
nu,19,1,2,-0.028780730107892616,
nu,19,2,0,0.1777369831729479,
nu,19,2,1,0.3939218693090769,
nu,19,2,2,0.11966126452231146,
nu,20,0,0,0.3721353935339059,
nu,20,0,1,-0.1902961338142834,
nu,20,0,2,0.46391348258013143,
nu,20,1,0,0.5638026720874403,
nu,20,1,1,-0.09965066857767035,
nu,20,1,2,-0.15871237707969188,
nu,20,2,0,-0.3809427087935725,
nu,20,2,1,0.056164427422972396,
nu,20,2,2,-0.6832304484751446,
nu,21,0,0,0.3079065460396744,
nu,21,0,1,-0.1625194441414634,
nu,21,0,2,0.11141404617653272,
nu,21,1,0,-0.17053145301658335,
nu,21,1,1,-0.07127838375498424,
nu,21,1,2,-0.04624858690685962,
nu,21,2,0,0.1525351116838915,
nu,21,2,1,0.2383770175149032,
nu,21,2,2,-0.08797040805242023,
nu,22,0,0,-0.23098259950027097,
nu,22,0,1,-0.22612579066291055,
nu,22,0,2,0.5204033747874544,
nu,22,1,0,0.4699168571883701,
nu,22,1,1,-0.35302797292696253,
nu,22,1,2,0.2902991303678828,
nu,22,2,0,-0.05427415886016396,
nu,22,2,1,-0.19909340224085942,
nu,22,2,2,0.3301968076244118,
nu,23,0,0,-0.32082517587075376,
nu,23,0,1,-0.17157373136523718,
nu,23,0,2,0.006693804187348995,
nu,23,1,0,0.0070561439335356056,
nu,23,1,1,-0.4814423419180007,
