var,u,r,c,val,id
R,,,,3,
C,,,,3,
U,,,,2774,
sigmanu,,,,0.02,
alpha,,,0,0.2,
alpha,,,1,-0.48,
alpha,,,2,0.28,
beta,,0,0,-0.15,
beta,,0,1,-0.43,
beta,,0,2,0.94,
beta,,1,0,0.01,
beta,,1,1,0.49,
beta,,1,2,-1.23,
beta,,2,0,0.14,
beta,,2,1,-0.06,
beta,,2,2,0.3,
nu,0,0,0,-0.023615790476512966,
nu,0,0,1,0.026221610072409807,
nu,0,0,2,0.04181711587464809,
nu,0,1,0,0.048255133715446104,
nu,0,1,1,-0.009328089911518844,
nu,0,1,2,0.0004624115132709772,
nu,0,2,0,-0.014961690920065607,
nu,0,2,1,-0.02122115449337242,
nu,0,2,2,-0.0013087604253025353,
nu,1,0,0,0.004777808157383462,
nu,1,0,1,0.013631911940380992,
nu,1,0,2,-0.03866439175491809,
nu,1,1,0,0.01930135216642235,
nu,1,1,1,-0.0033367718077901842,
nu,1,1,2,-0.0008529930057021851,
nu,1,2,0,0.007629148889121473,
nu,1,2,1,0.0045976870265801995,
nu,1,2,2,-0.03561953150312819,
nu,2,0,0,0.02470052355148325,
nu,2,0,1,-0.03966695418746341,
nu,2,0,2,-0.021825429772785565,
nu,2,1,0,-0.027211646556352213,
nu,2,1,1,0.016451164364523096,
nu,2,1,2,-0.0026886437492494863,
nu,2,2,0,0.03223715639563024,
nu,2,2,1,-0.009160782598332917,
nu,2,2,2,0.017803127150521292,
nu,3,0,0,-0.039771134762268984,
nu,3,0,1,-0.009832963145696982,
nu,3,0,2,-0.026846571919568296,
nu,3,1,0,0.014402329473869971,
nu,3,1,1,0.030386867567156473,
nu,3,1,2,-0.048815565287990026,
nu,3,2,0,0.042090816401069875,
nu,3,2,1,-0.01626217911243827,
nu,3,2,2,-0.012729403860825494,
nu,4,0,0,0.022212239442447462,
nu,4,0,1,-0.009007848860424439,
nu,4,0,2,-0.021609064962374136,
nu,4,1,0,0.0066398462864387196,
nu,4,1,1,0.025364671674205308,
nu,4,1,2,0.01876906515316734,
nu,4,2,0,-0.0039166057328310355,
nu,4,2,1,-0.004799986132974443,
nu,4,2,2,-0.011631353946829404,
nu,5,0,0,0.012188436475462194,
nu,5,0,1,-0.016563742682843052,
nu,5,0,2,0.017154143984302817,
nu,5,1,0,0.0005638198504918732,
nu,5,1,1,-0.018893021885272088,
nu,5,1,2,-0.030379724457068047,
nu,5,2,0,-0.008194961079730723,
nu,5,2,1,-0.010080973536334137,
nu,5,2,2,-0.007003238835722236,
nu,6,0,0,-0.011986396312891529,
nu,6,0,1,-0.012585480425344076,
nu,6,0,2,0.003099313518787339,
nu,6,1,0,0.001782054654829177,
nu,6,1,1,-0.012372280630605803,
nu,6,1,2,0.025142678330008383,
nu,6,2,0,-0.0033289174324716564,
nu,6,2,1,0.016976267359152974,
nu,6,2,2,-0.010467661285051444,
nu,7,0,0,-0.031043092124934585,
nu,7,0,1,0.02898113847262579,
nu,7,0,2,0.008366604266131006,
nu,7,1,0,0.008544628724205703,
nu,7,1,1,0.010254705058761582,
nu,7,1,2,0.0125420686866482,
nu,7,2,0,-0.013409242614737138,
nu,7,2,1,0.02771797197444764,
nu,7,2,2,0.03232127552528424,
nu,8,0,0,-0.013262534419060862,
nu,8,0,1,-0.006505455757302492,
nu,8,0,2,0.007128039907371875,
nu,8,1,0,-0.012483937404064413,
nu,8,1,1,-0.006342798486442536,
nu,8,1,2,-0.03248333515333646,
nu,8,2,0,0.009289407599693045,
nu,8,2,1,-0.047781763359723006,
nu,8,2,2,-0.007057611641042183,
nu,9,0,0,-0.02372499173762141,
nu,9,0,1,-0.022426334480816823,
nu,9,0,2,-0.02803916297379838,
nu,9,1,0,0.009489066778420494,
nu,9,1,1,0.019928929877524815,
nu,9,1,2,0.0027630623850229963,
nu,9,2,0,-0.01861960948944491,
nu,9,2,1,0.0151703272380041,
nu,9,2,2,-0.0019466799119895462,
nu,10,0,0,0.026964282948256188,
nu,10,0,1,-0.022347661425030474,
nu,10,0,2,0.0088579935112727,
nu,10,1,0,0.0007265654069340075,
nu,10,1,1,-0.022385655667284954,
nu,10,1,2,0.0190687274941983,
nu,10,2,0,0.01168130905931647,
nu,10,2,1,0.03195385433011416,
nu,10,2,2,0.009455600072555692,
nu,11,0,0,-0.0226433359488952,
nu,11,0,1,0.003936178051724248,
nu,11,0,2,0.017658838467660143,
nu,11,1,0,0.015726782481239966,
nu,11,1,1,-0.040914273335818374,
nu,11,1,2,0.00993705242567633,
nu,11,2,0,0.01726210823036356,
nu,11,2,1,-0.019691283382443914,
nu,11,2,2,-0.014263452280969535,
nu,12,0,0,-0.029121852997425673,
nu,12,0,1,-0.034113859817861136,
nu,12,0,2,0.002359150593044701,
nu,12,1,0,0.005951703904355324,
nu,12,1,1,-0.017316719466148767,
nu,12,1,2,0.0020464501369577004,
nu,12,2,0,0.02081892438881039,
nu,12,2,1,0.0006860379154150498,
nu,12,2,2,-0.021417882934671117,
nu,13,0,0,-0.007031954790732126,
nu,13,0,1,-0.017513360658129196,
nu,13,0,2,0.01262180368662702,
nu,13,1,0,0.013119718733747269,
nu,13,1,1,-0.0034523272788188897,
nu,13,1,2,-0.008212675192891261,
nu,13,2,0,0.00563685546689624,
nu,13,2,1,-0.020578195335225813,
nu,13,2,2,-0.023069532148209115,
nu,14,0,0,-0.04771016285165325,
nu,14,0,1,-0.015012109910195026,
nu,14,0,2,-0.004849391210598242,
nu,14,1,0,-0.004727501134804959,
nu,14,1,1,-0.012467907004281076,
nu,14,1,2,0.0015618838031699056,
nu,14,2,0,-0.014509312092210791,
nu,14,2,1,-0.012779238805458448,
nu,14,2,2,0.005534634701459484,
nu,15,0,0,-0.034740699114023,
nu,15,0,1,0.02193083659803191,
nu,15,0,2,0.005595949518082399,
nu,15,1,0,-0.021854695714990317,
nu,15,1,1,0.003602859354320753,
nu,15,1,2,0.017099240503340996,
nu,15,2,0,0.022792734231365686,
nu,15,2,1,0.01300010415576619,
nu,15,2,2,0.03345408273177625,
nu,16,0,0,-0.02755431355665164,
nu,16,0,1,-0.0029809181986272804,
nu,16,0,2,0.0060403615359441165,
nu,16,1,0,-0.0067714536116368265,
nu,16,1,1,0.03041693187993655,
nu,16,1,2,-0.0011198175118558584,
nu,16,2,0,-0.023049167588912067,
nu,16,2,1,-0.02872184378867776,
nu,16,2,2,-0.003004124373821193,
nu,17,0,0,0.006990422898678933,
nu,17,0,1,-0.01093713829231574,
nu,17,0,2,-0.02742076319820641,
nu,17,1,0,-0.02374438208480447,
nu,17,1,1,0.008140408338323746,
nu,17,1,2,0.010786944689317401,
nu,17,2,0,-0.0316896261004293,
nu,17,2,1,-0.03776012176413984,
nu,17,2,2,0.011835489557313561,
nu,18,0,0,-0.00866555333686067,
nu,18,0,1,-0.019432239557650555,
nu,18,0,2,-0.024814398861514597,
nu,18,1,0,-0.011057817714842202,
nu,18,1,1,0.020654028747485786,
nu,18,1,2,-0.022377093195684816,
nu,18,2,0,0.04224703149764236,
nu,18,2,1,-0.013371684425877828,
nu,18,2,2,0.004971018862082011,
nu,19,0,0,-0.00505783364160145,
nu,19,0,1,0.020907664523663383,
nu,19,0,2,0.025081055559352583,
nu,19,1,0,0.01368950779026402,
nu,19,1,1,0.026683484294134585,
nu,19,1,2,-0.0036572358497339863,
nu,19,2,0,0.004254613793068074,
nu,19,2,1,-0.009840727548179273,
nu,19,2,2,0.007294609036831046,
nu,20,0,0,-0.012440534775932988,
nu,20,0,1,0.016651005333802982,
nu,20,0,2,0.04654976731503835,
nu,20,1,0,-0.03158201396947324,
nu,20,1,1,0.006423045955378293,
nu,20,1,2,-0.013639862385414148,
nu,20,2,0,0.012936923071211082,
nu,20,2,1,0.046207856168205275,
nu,20,2,2,0.002271101979648027,
nu,21,0,0,0.0007654549826503487,
nu,21,0,1,-0.01109720062855274,
nu,21,0,2,0.0419474915335023,
nu,21,1,0,0.02205847120415711,
nu,21,1,1,-0.0035187154858253855,
nu,21,1,2,0.027899788167337736,
nu,21,2,0,0.0019367339324917743,
nu,21,2,1,0.009227277767611508,
nu,21,2,2,-0.013670139746213061,
nu,22,0,0,-0.00704814687987812,
nu,22,0,1,-0.0162211131763646,
nu,22,0,2,-0.0024043259308903497,
nu,22,1,0,-0.018713326074440255,
nu,22,1,1,-0.014263600484940575,
nu,22,1,2,0.05314487191635431,
nu,22,2,0,-0.004216494396486414,
nu,22,2,1,-0.009002091465396156,
nu,22,2,2,-0.027579021400490566,
nu,23,0,0,-0.019053867633142485,
nu,23,0,1,0.025889918148521873,
nu,23,0,2,-0.015808700037081236,
nu,23,1,0,-0.016355135476141362,
