var,u,r,c,val,id
R,,,,3,
C,,,,3,
U,,,,2774,
sigmanu,,,,0.1,
alpha,,,0,0.2,
alpha,,,1,-0.48,
alpha,,,2,0.28,
beta,,0,0,-0.15,
beta,,0,1,-0.43,
beta,,0,2,0.94,
beta,,1,0,0.01,
beta,,1,1,0.49,
beta,,1,2,-1.23,
beta,,2,0,0.14,
beta,,2,1,-0.06,
beta,,2,2,0.3,
nu,0,0,0,0.08847803031623136,
nu,0,0,1,-0.10662074247909387,
nu,0,0,2,0.015351883531544042,
nu,0,1,0,-0.06332746088675094,
nu,0,1,1,-0.12609246557194387,
nu,0,1,2,-0.07269510620654107,
nu,0,2,0,-0.001996475090776273,
nu,0,2,1,0.021029989010169448,
nu,0,2,2,0.0729478340356206,
nu,1,0,0,-0.016031122324283414,
nu,1,0,1,0.10111892074660195,
nu,1,0,2,-0.02426793824588569,
nu,1,1,0,-0.0773011277295818,
nu,1,1,1,-0.15951814880783066,
nu,1,1,2,-0.06870036940435464,
nu,1,2,0,0.14880743158106724,
nu,1,2,1,0.05199986631789372,
nu,1,2,2,-0.09528856397032837,
nu,2,0,0,-0.00917417409081639,
nu,2,0,1,0.05563227724483105,
nu,2,0,2,-0.0009446277892508625,
nu,2,1,0,-0.121768777910687,
nu,2,1,1,-0.12654653080284906,
nu,2,1,2,-0.1119535183027125,
nu,2,2,0,-0.17464049037282423,
nu,2,2,1,0.10410124570335083,
nu,2,2,2,0.06539244967350816,
nu,3,0,0,0.0148215445488101,
nu,3,0,1,-0.11461092231976017,
nu,3,0,2,0.1872776376855343,
nu,3,1,0,-0.030991497424174667,
nu,3,1,1,0.024018023403782562,
nu,3,1,2,0.03690447368039518,
nu,3,2,0,-0.01872021932975887,
nu,3,2,1,-0.31452962731231343,
nu,3,2,2,-0.01137312775759719,
nu,4,0,0,0.16962024805143952,
nu,4,0,1,-0.06652034805381662,
nu,4,0,2,-0.058722259835988,
nu,4,1,0,0.28321041675111464,
nu,4,1,1,-0.196124168414333,
nu,4,1,2,0.022092437177232194,
nu,4,2,0,-0.13809366518587674,
nu,4,2,1,-0.2054751017438024,
nu,4,2,2,0.0047576553850240955,
nu,5,0,0,-0.038556879759337026,
nu,5,0,1,-0.02750349191921614,
nu,5,0,2,0.08865896300912457,
nu,5,1,0,0.014466901476043329,
nu,5,1,1,0.10741717182580679,
nu,5,1,2,-0.11287986397999439,
nu,5,2,0,-0.009376858138313238,
nu,5,2,1,0.09983435794511253,
nu,5,2,2,-0.008262167465143244,
nu,6,0,0,0.018253194918016996,
nu,6,0,1,0.09509038124935937,
nu,6,0,2,-0.05787436085078368,
nu,6,1,0,-0.3479635241570988,
nu,6,1,1,0.0749488330019501,
nu,6,1,2,-0.05605552140987213,
nu,6,2,0,0.0074246814734651445,
nu,6,2,1,0.19936457271364444,
nu,6,2,2,0.044986533984459454,
nu,7,0,0,0.15531453898519595,
nu,7,0,1,-0.0891345605994443,
nu,7,0,2,-0.044654373231352684,
nu,7,1,0,-0.07012303945657873,
nu,7,1,1,0.03262557962875623,
nu,7,1,2,-0.08738640219900762,
nu,7,2,0,0.03941269998738489,
nu,7,2,1,0.08915170821381013,
nu,7,2,2,0.11731555158319235,
nu,8,0,0,-0.0756574666812572,
nu,8,0,1,0.036867311857576024,
nu,8,0,2,-0.01726536808458423,
nu,8,1,0,0.09751203451810782,
nu,8,1,1,0.04164541966117019,
nu,8,1,2,-0.04986513835421569,
nu,8,2,0,-0.047546981991056114,
nu,8,2,1,0.02863440633176778,
nu,8,2,2,-0.06874477235062221,
nu,9,0,0,-0.0575244204624869,
nu,9,0,1,-0.05918823592164962,
nu,9,0,2,0.06195092629710963,
nu,9,1,0,-0.14872950971304263,
nu,9,1,1,0.13626823808042954,
nu,9,1,2,0.04188191254194784,
nu,9,2,0,0.0343414878097571,
nu,9,2,1,-0.14000031334476976,
nu,9,2,2,-0.02367517803568403,
nu,10,0,0,0.02071002656989618,
nu,10,0,1,-0.011727393443191458,
nu,10,0,2,-0.001743674078459767,
nu,10,1,0,-0.02431713097686513,
nu,10,1,1,-0.043942236360685505,
nu,10,1,2,0.2714466016601841,
nu,10,2,0,0.04313021544483436,
nu,10,2,1,-0.036562932670250514,
nu,10,2,2,-0.05312331855486968,
nu,11,0,0,-0.013408449243234949,
nu,11,0,1,0.1364272452423561,
nu,11,0,2,0.023277053517438473,
nu,11,1,0,0.11064458833206277,
nu,11,1,1,0.08527354795918418,
nu,11,1,2,-0.15195263551185767,
nu,11,2,0,0.1021618586553874,
nu,11,2,1,0.11149190519421115,
nu,11,2,2,-0.05559898033655192,
nu,12,0,0,0.05331687087503058,
nu,12,0,1,-0.01878747494823968,
nu,12,0,2,0.039936858905982975,
nu,12,1,0,-0.06760874461803966,
nu,12,1,1,-0.020353861724647315,
nu,12,1,2,0.10938443736921499,
nu,12,2,0,0.005341919427957087,
nu,12,2,1,0.0013427502769269295,
nu,12,2,2,-0.15406177939388188,
nu,13,0,0,-0.04819087554044005,
nu,13,0,1,0.07623209434576811,
nu,13,0,2,0.021679229361763364,
nu,13,1,0,0.08330497625994622,
nu,13,1,1,0.08754186991348556,
nu,13,1,2,0.026314231858353354,
nu,13,2,0,-0.040532887890251335,
nu,13,2,1,-0.007271235379509189,
nu,13,2,2,-0.013985617336865042,
nu,14,0,0,0.0785995459350369,
nu,14,0,1,-0.20568571650881634,
nu,14,0,2,0.13130292416812694,
nu,14,1,0,0.12950303403121016,
nu,14,1,1,0.009346980467841937,
nu,14,1,2,-0.064879924513364,
nu,14,2,0,-0.0679095884649028,
nu,14,2,1,-0.008377947239717132,
nu,14,2,2,-0.13083177047571637,
nu,15,0,0,-0.141739733683466,
nu,15,0,1,0.06191589690204985,
nu,15,0,2,-0.06891032076273107,
nu,15,1,0,-0.04117908858856197,
nu,15,1,1,-0.11128682991908617,
nu,15,1,2,-0.039202495491980294,
nu,15,2,0,-0.04522967443547726,
nu,15,2,1,0.10930261889419507,
nu,15,2,2,-0.016391822264120004,
nu,16,0,0,0.21976427053233147,
nu,16,0,1,0.013651183776952236,
nu,16,0,2,0.08942415239487,
nu,16,1,0,-0.19664187911247127,
nu,16,1,1,0.14864847606394493,
nu,16,1,2,-0.019825548808932503,
nu,16,2,0,-0.16795171874434076,
nu,16,2,1,0.13863200736888243,
nu,16,2,2,-0.013217501036621504,
nu,17,0,0,0.14505092414462475,
nu,17,0,1,0.011680004036673408,
nu,17,0,2,0.002990556608556183,
nu,17,1,0,0.0853619513402862,
nu,17,1,1,0.09084886688785421,
nu,17,1,2,-0.11090488038575441,
nu,17,2,0,-0.06245383245605812,
nu,17,2,1,0.059861167990802544,
nu,17,2,2,0.038070908769502976,
nu,18,0,0,-0.010303497974091275,
nu,18,0,1,-0.12868901361560708,
nu,18,0,2,0.14145046448860676,
nu,18,1,0,0.04472847452382745,
nu,18,1,1,-0.020690503425652373,
nu,18,1,2,0.11506583648125868,
nu,18,2,0,0.09998689606162758,
nu,18,2,1,0.12947689290457065,
nu,18,2,2,0.08043963540244164,
nu,19,0,0,0.0907209161934768,
nu,19,0,1,-0.021521353161099432,
nu,19,0,2,0.05114427131934862,
nu,19,1,0,0.08077315643111783,
nu,19,1,1,-0.13327491869404218,
nu,19,1,2,0.07085323264931898,
nu,19,2,0,-0.06684715851233203,
nu,19,2,1,-0.08257825337351238,
nu,19,2,2,0.030120351315359783,
nu,20,0,0,-0.08903969380418159,
nu,20,0,1,0.05242851685620803,
nu,20,0,2,-0.15962119842087552,
nu,20,1,0,-0.03219201551507427,
nu,20,1,1,-0.10607577697273646,
nu,20,1,2,-0.15515955644398471,
nu,20,2,0,-0.031474491882939326,
nu,20,2,1,0.02538645573618442,
nu,20,2,2,-0.10197709154751472,
nu,21,0,0,-0.09778113722019541,
nu,21,0,1,-0.04316864152257843,
nu,21,0,2,-0.22361639141168577,
nu,21,1,0,-0.02697622002313293,
nu,21,1,1,0.03299808176367347,
nu,21,1,2,-0.1752174363636736,
nu,21,2,0,-0.04950296333604948,
nu,21,2,1,0.04861381120302549,
nu,21,2,2,0.06752239379336006,
nu,22,0,0,0.16210224842830737,
nu,22,0,1,0.03079815818363435,
nu,22,0,2,0.09679524430946596,
nu,22,1,0,0.051622754087808094,
nu,22,1,1,0.1357135247187029,
nu,22,1,2,0.08485747701414792,
nu,22,2,0,-0.04956591550551048,
nu,22,2,1,-0.005424484417292541,
nu,22,2,2,0.23796823572011178,
nu,23,0,0,0.07575889138264313,
nu,23,0,1,0.0623364152328843,
nu,23,0,2,0.0658393517151703,
nu,23,1,0,-0.009950746068297897,
nu,23,1,1,-0.0817856878055151,
nu,23,1,2,0.21964007674430608,
