var,u,r,c,val,id
R,,,,3,
C,,,,3,
U,,,,527,
sigmanu,,,,0.05,
sigmabeta,,,,27.426073879940247,
alpha,,,0,0.2,
alpha,,,1,-0.48,
alpha,,,2,0.28,
beta,,0,0,-0.15,
beta,,0,1,-0.43,
beta,,0,2,0.94,
beta,,1,0,0.01,
beta,,1,1,0.49,
beta,,1,2,-1.23,
beta,,2,0,0.14,
beta,,2,1,-0.06,
beta,,2,2,0.3,
nu,0,0,0,0.04423901515811568,
nu,0,0,1,-0.053310371239546905,
nu,0,0,2,0.00767594176577191,
nu,0,1,0,-0.03166373044337547,
nu,0,1,1,-0.06304623278597193,
nu,0,1,2,-0.036347553103270425,
nu,0,2,0,-0.0009982375453881365,
nu,0,2,1,0.010514994505084696,
nu,0,2,2,0.03647391701781039,
nu,1,0,0,-0.008015561162141721,
nu,1,0,1,0.050559460373301,
nu,1,0,2,-0.012133969122942956,
nu,1,1,0,-0.0386505638647909,
nu,1,1,1,-0.07975907440391533,
nu,1,1,2,-0.03435018470217743,
nu,1,2,0,0.07440371579053362,
nu,1,2,1,0.02599993315894683,
nu,1,2,2,-0.04764428198516418,
nu,2,0,0,-0.004587087045408195,
nu,2,0,1,0.027816138622415554,
nu,2,0,2,-0.0004723138946254313,
nu,2,1,0,-0.0608843889553435,
nu,2,1,1,-0.06327326540142453,
nu,2,1,2,-0.05597675915135625,
nu,2,2,0,-0.08732024518641213,
nu,2,2,1,0.05205062285167539,
nu,2,2,2,0.032696224836754106,
nu,3,0,0,0.007410772274405036,
nu,3,0,1,-0.057305461159880056,
nu,3,0,2,0.09363881884276704,
nu,3,1,0,-0.015495748712087328,
nu,3,1,1,0.012009011701891281,
nu,3,1,2,0.01845223684019759,
nu,3,2,0,-0.009360109664879435,
nu,3,2,1,-0.1572648136561568,
nu,3,2,2,-0.005686563878798567,
nu,4,0,0,0.08481012402571977,
nu,4,0,1,-0.03326017402690823,
nu,4,0,2,-0.02936112991799389,
nu,4,1,0,0.1416052083755573,
nu,4,1,1,-0.0980620842071665,
nu,4,1,2,0.011046218588615986,
nu,4,2,0,-0.06904683259293837,
nu,4,2,1,-0.10273755087190123,
nu,4,2,2,0.00237882769251202,
nu,5,0,0,-0.019278439879668513,
nu,5,0,1,-0.013751745959607986,
nu,5,0,2,0.044329481504562285,
nu,5,1,0,0.007233450738021683,
nu,5,1,1,0.053708585912903395,
nu,5,1,2,-0.056439931989997305,
nu,5,2,0,-0.004688429069156619,
nu,5,2,1,0.049917178972556264,
nu,5,2,2,-0.004131083732571594,
nu,6,0,0,0.009126597459008484,
nu,6,0,1,0.04754519062467971,
nu,6,0,2,-0.02893718042539195,
nu,6,1,0,-0.1739817620785494,
nu,6,1,1,0.03747441650097505,
nu,6,1,2,-0.028027760704936178,
nu,6,2,0,0.0037123407367326,
nu,6,2,1,0.09968228635682219,
nu,6,2,2,0.0224932669922297,
nu,7,0,0,0.07765726949259796,
nu,7,0,1,-0.04456728029972218,
nu,7,0,2,-0.022327186615676453,
nu,7,1,0,-0.03506151972828935,
nu,7,1,1,0.016312789814378115,
nu,7,1,2,-0.04369320109950392,
nu,7,2,0,0.019706349993692418,
nu,7,2,1,0.044575854106905066,
nu,7,2,2,0.0586577757915962,
nu,8,0,0,-0.037828733340628584,
nu,8,0,1,0.01843365592878804,
nu,8,0,2,-0.008632684042292116,
nu,8,1,0,0.04875601725905394,
nu,8,1,1,0.020822709830585096,
nu,8,1,2,-0.024932569177107844,
nu,8,2,0,-0.023773490995528057,
nu,8,2,1,0.014317203165883863,
nu,8,2,2,-0.034372386175311076,
nu,9,0,0,-0.02876221023124345,
nu,9,0,1,-0.02959411796082473,
nu,9,0,2,0.030975463148554816,
nu,9,1,0,-0.07436475485652132,
nu,9,1,1,0.06813411904021482,
nu,9,1,2,0.02094095627097392,
nu,9,2,0,0.01717074390487855,
nu,9,2,1,-0.07000015667238485,
nu,9,2,2,-0.011837589017841987,
nu,10,0,0,0.01035501328494809,
nu,10,0,1,-0.005863696721595646,
nu,10,0,2,-0.0008718370392297725,
nu,10,1,0,-0.012158565488432574,
nu,10,1,1,-0.021971118180342752,
nu,10,1,2,0.135723300830092,
nu,10,2,0,0.02156510772241721,
nu,10,2,1,-0.01828146633512534,
nu,10,2,2,-0.026561659277434757,
nu,11,0,0,-0.006704224621617488,
nu,11,0,1,0.06821362262117808,
nu,11,0,2,0.011638526758719125,
nu,11,1,0,0.05532229416603141,
nu,11,1,1,0.04263677397959209,
nu,11,1,2,-0.07597631775592895,
nu,11,2,0,0.0510809293276937,
nu,11,2,1,0.05574595259710552,
nu,11,2,2,-0.02779949016827593,
nu,12,0,0,0.026658435437515282,
nu,12,0,1,-0.009393737474119812,
nu,12,0,2,0.0199684294529916,
nu,12,1,0,-0.03380437230901983,
nu,12,1,1,-0.01017693086232363,
nu,12,1,2,0.054692218684607496,
nu,12,2,0,0.0026709597139785712,
nu,12,2,1,0.000671375138463437,
nu,12,2,2,-0.07703088969694089,
nu,13,0,0,-0.024095437770220024,
nu,13,0,1,0.03811604717288403,
nu,13,0,2,0.010839614680881793,
nu,13,1,0,0.04165248812997308,
nu,13,1,1,0.04377093495674278,
nu,13,1,2,0.013157115929176566,
nu,13,2,0,-0.020266443945125667,
nu,13,2,1,-0.0036356176897545667,
nu,13,2,2,-0.006992808668432493,
nu,14,0,0,0.03929977296751845,
nu,14,0,1,-0.10284285825440803,
nu,14,0,2,0.06565146208406358,
nu,14,1,0,0.06475151701560507,
nu,14,1,1,0.004673490233920996,
nu,14,1,2,-0.032439962256682,
nu,14,2,0,-0.0339547942324514,
nu,14,2,1,-0.004188973619858538,
nu,14,2,2,-0.06541588523785818,
nu,15,0,0,-0.07086986684173299,
nu,15,0,1,0.030957948451024897,
nu,15,0,2,-0.034455160381365424,
nu,15,1,0,-0.02058954429428097,
nu,15,1,1,-0.05564341495954306,
nu,15,1,2,-0.019601247745990147,
nu,15,2,0,-0.02261483721773866,
nu,15,2,1,0.05465130944709751,
nu,15,2,2,-0.008195911132059919,
nu,16,0,0,0.10988213526616572,
nu,16,0,1,0.006825591888476146,
nu,16,0,2,0.04471207619743489,
nu,16,1,0,-0.09832093955623562,
nu,16,1,1,0.07432423803197241,
nu,16,1,2,-0.009912774404466251,
nu,16,2,0,-0.08397585937217039,
nu,16,2,1,0.06931600368444119,
nu,16,2,2,-0.006608750518310724,
nu,17,0,0,0.07252546207231238,
nu,17,0,1,0.005840002018336732,
nu,17,0,2,0.0014952783042780915,
nu,17,1,0,0.04268097567014307,
nu,17,1,1,0.045424433443927104,
nu,17,1,2,-0.05545244019287732,
nu,17,2,0,-0.031226916228029034,
nu,17,2,1,0.029930583995401217,
nu,17,2,2,0.01903545438475146,
nu,18,0,0,-0.005151748987045651,
nu,18,0,1,-0.06434450680780351,
nu,18,0,2,0.07072523224430327,
nu,18,1,0,0.02236423726191373,
nu,18,1,1,-0.010345251712826187,
nu,18,1,2,0.05753291824062945,
nu,18,2,0,0.04999344803081379,
nu,18,2,1,0.06473844645228527,
nu,18,2,2,0.040219817701220795,
nu,19,0,0,0.045360458096738415,
nu,19,0,1,-0.010760676580549633,
nu,19,0,2,0.02557213565967431,
nu,19,1,0,0.04038657821555892,
nu,19,1,1,-0.06663745934702109,
nu,19,1,2,0.03542661632465949,
nu,19,2,0,-0.033423579256166014,
nu,19,2,1,-0.04128912668675616,
nu,19,2,2,0.015060175657679864,
nu,20,0,0,-0.04451984690209079,
nu,20,0,1,0.026214258428104042,
nu,20,0,2,-0.07981059921043765,
nu,20,1,0,-0.016096007757537133,
nu,20,1,1,-0.053037888486368256,
nu,20,1,2,-0.07757977822199247,
nu,20,2,0,-0.01573724594146969,
nu,20,2,1,0.012693227868092183,
nu,20,2,2,-0.05098854577375728,
nu,21,0,0,-0.04889056861009769,
nu,21,0,1,-0.02158432076128919,
nu,21,0,2,-0.11180819570584277,
nu,21,1,0,-0.013488110011566459,
nu,21,1,1,0.016499040881836735,
nu,21,1,2,-0.0876087181818368,
nu,21,2,0,-0.024751481668024766,
nu,21,2,1,0.024306905601512774,
nu,21,2,2,0.03376119689668006,
nu,22,0,0,0.0810511242141537,
nu,22,0,1,0.015399079091817203,
nu,22,0,2,0.04839762215473287,
nu,22,1,0,0.02581137704390405,
nu,22,1,1,0.06785676235935145,
nu,22,1,2,0.04242873850707385,
nu,22,2,0,-0.02478295775275524,
nu,22,2,1,-0.002712242208646354,
nu,22,2,2,0.11898411786005597,
nu,23,0,0,0.03787944569132157,
nu,23,0,1,0.03116820761644218,
nu,23,0,2,0.03291967585758515,
nu,23,1,0,-0.004975373034148958,
nu,23,1,1,-0.04089284390275755,
