var,u,r,c,val,id
R,,,,3,
C,,,,3,
U,,,,527,
sigmanu,,,,0.15,
sigmabeta,,,,0.9257305775633738,
alpha,,,0,0.2,
alpha,,,1,-0.48,
alpha,,,2,0.28,
beta,,0,0,-0.15,
beta,,0,1,-0.43,
beta,,0,2,0.94,
beta,,1,0,0.01,
beta,,1,1,0.49,
beta,,1,2,-1.23,
beta,,2,0,0.14,
beta,,2,1,-0.06,
beta,,2,2,0.3,
nu,0,0,0,0.1371585805467914,
nu,0,0,1,0.07217703415196369,
nu,0,0,2,-0.028367766475204448,
nu,0,1,0,0.18140131108722246,
nu,0,1,1,-0.2786457869895764,
nu,0,1,2,0.004567077906119987,
nu,0,2,0,-0.13394156174365207,
nu,0,2,1,0.04160668206135737,
nu,0,2,2,0.13054049874845358,
nu,1,0,0,-0.015251521354763042,
nu,1,0,1,-0.13912639066229876,
nu,1,0,2,-0.026229557976142237,
nu,1,1,0,-0.002264917958450066,
nu,1,1,1,-0.023017952686647247,
nu,1,1,2,-0.1507021547225329,
nu,1,2,0,0.15214915782182376,
nu,1,2,1,-0.013201098917066834,
nu,1,2,2,0.06278070465139135,
nu,2,0,0,0.07284529362255758,
nu,2,0,1,-0.12030293650508045,
nu,2,0,2,0.1081377609070644,
nu,2,1,0,-0.0363781559740485,
nu,2,1,1,-0.11137823267708474,
nu,2,1,2,0.1041320738546545,
nu,2,2,0,-0.15732152966080123,
nu,2,2,1,0.07451348308921579,
nu,2,2,2,-0.15719634901711482,
nu,3,0,0,0.16425477909958117,
nu,3,0,1,0.19707814628288883,
nu,3,0,2,0.06362987739670545,
nu,3,1,0,-0.10313306389796852,
nu,3,1,1,0.1267463721226223,
nu,3,1,2,0.1542442179012351,
nu,3,2,0,0.19749988455688722,
nu,3,2,1,0.019515837718127538,
nu,3,2,2,-0.08918842839208119,
nu,4,0,0,-0.2648040685013875,
nu,4,0,1,0.17957612965644748,
nu,4,0,2,0.2566534421884723,
nu,4,1,0,-0.023501242126847337,
nu,4,1,1,0.004370663927508567,
nu,4,1,2,0.18910991861125614,
nu,4,2,0,0.12999140418325716,
nu,4,2,1,0.258627529895401,
nu,4,2,2,0.12888931013217858,
nu,5,0,0,0.003304017725619335,
nu,5,0,1,-0.00573317323497452,
nu,5,0,2,-0.11144549667513126,
nu,5,1,0,-0.030990319525170028,
nu,5,1,1,0.07302883170939634,
nu,5,1,2,-0.00762916518589396,
nu,5,2,0,0.025377885127648048,
nu,5,2,1,0.16126599323556517,
nu,5,2,2,-0.29361922562675913,
nu,6,0,0,-0.1585150346515841,
nu,6,0,1,0.1826150581766693,
nu,6,0,2,-0.08488207420176463,
nu,6,1,0,-0.23581056695612698,
nu,6,1,1,0.12382856842652346,
nu,6,1,2,-0.11414649101125218,
nu,6,2,0,0.04804872664637677,
nu,6,2,1,-0.06588711527371344,
nu,6,2,2,-0.2959972488173248,
nu,7,0,0,-0.022914612916974025,
nu,7,0,1,-0.017737234292029502,
nu,7,0,2,0.05120010265400676,
nu,7,1,0,0.1773516901276293,
nu,7,1,1,-0.14252762457514684,
nu,7,1,2,-0.14675786414237546,
nu,7,2,0,0.05745809115361383,
nu,7,2,1,-0.040700625348636665,
nu,7,2,2,0.14045547110960316,
nu,8,0,0,-0.2859940054746761,
nu,8,0,1,0.1741916232905521,
nu,8,0,2,-0.10485845908158753,
nu,8,1,0,-0.1579332045840371,
nu,8,1,1,-0.15742812188407085,
nu,8,1,2,0.049893796781938615,
nu,8,2,0,-0.08131460844643446,
nu,8,2,1,-0.028869213608419597,
nu,8,2,2,-0.06384351301879804,
nu,9,0,0,0.24354913390231794,
nu,9,0,1,-0.07842212899418916,
nu,9,0,2,0.07327485050266835,
nu,9,1,0,-0.1336236421878332,
nu,9,1,1,-0.04122714382290921,
nu,9,1,2,0.3132939172331979,
nu,9,2,0,0.18396661559481892,
nu,9,2,1,0.0018256717165103242,
nu,9,2,2,0.01888554883834609,
nu,10,0,0,-0.14632212218595245,
nu,10,0,1,0.05738614197556663,
nu,10,0,2,-0.055985863474579345,
nu,10,1,0,-0.044422205865712126,
nu,10,1,1,-0.024773825345685063,
nu,10,1,2,-0.11757810852805473,
nu,10,2,0,-0.07477406902339784,
nu,10,2,1,0.00882821331139444,
nu,10,2,2,-0.1489772507868818,
nu,11,0,0,-0.07536415080864775,
nu,11,0,1,-0.16229241888118578,
nu,11,0,2,-0.012161950836556468,
nu,11,1,0,0.0017691724944391782,
nu,11,1,1,-0.38028674706627696,
nu,11,1,2,-0.11065016108411552,
nu,11,2,0,-0.047213701192106994,
nu,11,2,1,0.33807771076380705,
nu,11,2,2,0.05654126648783492,
nu,12,0,0,0.0032257315681275267,
nu,12,0,1,-0.1683189293111857,
nu,12,0,2,0.044358241380072494,
nu,12,1,0,0.08122913761852614,
nu,12,1,1,0.22515168536169827,
nu,12,1,2,0.039571033503023934,
nu,12,2,0,0.12171756416943308,
nu,12,2,1,-0.13375117755317473,
nu,12,2,2,0.05015212558164511,
nu,13,0,0,0.14032815648634858,
nu,13,0,1,-0.2621892887494625,
nu,13,0,2,0.1887234908705664,
nu,13,1,0,0.03028083540271479,
nu,13,1,1,-0.10350425713919376,
nu,13,1,2,0.0061908659464955385,
nu,13,2,0,-0.05385080864937214,
nu,13,2,1,0.044422334130893304,
nu,13,2,2,0.006102860935452814,
nu,14,0,0,-0.057004576053830164,
nu,14,0,1,0.13015868704172956,
nu,14,0,2,-0.0771513552526828,
nu,14,1,0,-0.04641636277973076,
nu,14,1,1,-0.14871159714380933,
nu,14,1,2,0.07974024135398006,
nu,14,2,0,-0.07880517378801799,
nu,14,2,1,0.10438674698959222,
nu,14,2,2,0.20901526800824305,
nu,15,0,0,-0.03755970395673744,
nu,15,0,1,-0.2540470574305968,
nu,15,0,2,-0.051537667878779336,
nu,15,1,0,-0.02999881467623588,
nu,15,1,1,-0.2872008427444126,
nu,15,1,2,0.13495833915568012,
nu,15,2,0,-0.09837823395325337,
nu,15,2,1,0.06849995591801677,
nu,15,2,2,0.05667387036257593,
nu,16,0,0,-0.0025462405390125342,
nu,16,0,1,0.1455603060888498,
nu,16,0,2,0.12589921620787248,
nu,16,1,0,0.15220485203564782,
nu,16,1,1,-0.10296428711132932,
nu,16,1,2,0.03578151628645787,
nu,16,2,0,-0.03821911242085052,
nu,16,2,1,0.12858503518135472,
nu,16,2,2,0.0041663833433076,
nu,17,0,0,0.06310384642175915,
nu,17,0,1,0.19555832360994668,
nu,17,0,2,0.0638053589459131,
nu,17,1,0,-0.2011363261806812,
nu,17,1,1,-0.07217575538175225,
nu,17,1,2,0.02412305324287045,
nu,17,2,0,-0.31746332531963717,
nu,17,2,1,0.2086059023122016,
nu,17,2,2,-0.039630918567939044,
nu,18,0,0,-0.10607491008822953,
nu,18,0,1,-0.1081665410565204,
nu,18,0,2,0.033988826385503934,
nu,18,1,0,-0.13566351907811916,
nu,18,1,1,-0.023048558653742335,
nu,18,1,2,0.3470894584370867,
nu,18,2,0,-0.06841374448495102,
nu,18,2,1,0.007993844833245667,
nu,18,2,2,0.1313502034340313,
nu,19,0,0,-0.22710201558450607,
nu,19,0,1,-0.1020221131553582,
nu,19,0,2,0.17396943771566242,
nu,19,1,0,-0.19798800789728532,
nu,19,1,1,0.3015586576987259,
nu,19,1,2,0.06211394556851646,
nu,19,2,0,0.07192217229470277,
nu,19,2,1,-0.0053281172097239815,
nu,19,2,2,-0.12906898944178208,
nu,20,0,0,-0.11653794404640691,
nu,20,0,1,0.05119062250729561,
nu,20,0,2,-0.05810759148864375,
nu,20,1,0,-0.007154153799395288,
nu,20,1,1,0.1925913545054324,
nu,20,1,2,-0.20378769702490174,
nu,20,2,0,-0.04558801899558218,
nu,20,2,1,0.10269933589412689,
nu,20,2,2,-0.07412975387730608,
nu,21,0,0,-0.06241282264873879,
nu,21,0,1,-0.12717349007451578,
nu,21,0,2,0.0013673433257193057,
nu,21,1,0,0.016727015698074672,
nu,21,1,1,0.14128314918143103,
nu,21,1,2,0.045639499652231574,
nu,21,2,0,0.11473505359899222,
nu,21,2,1,0.13174136054659386,
nu,21,2,2,0.03706569327650994,
nu,22,0,0,-0.025003254546971387,
nu,22,0,1,0.13323006259772602,
nu,22,0,2,0.023754639723746918,
nu,22,1,0,-0.36457360617296525,
nu,22,1,1,0.06535942596721622,
nu,22,1,2,0.08827107231835951,
nu,22,2,0,0.15956726863274334,
nu,22,2,1,0.2131721595880271,
nu,22,2,2,-0.062029859153909295,
nu,23,0,0,-0.102630737309133,
nu,23,0,1,-0.1410140132210495,
nu,23,0,2,0.007589027590660269,
nu,23,1,0,0.06844459585700054,
nu,23,1,1,-0.10477393804356477,
