var,u,r,c,val,id
R,,,,3,
C,,,,3,
U,,,,2774,
sigmanu,,,,0.02,
sigmabeta,,,,27.426073879940247,
alpha,,,0,0.2,
alpha,,,1,-0.48,
alpha,,,2,0.28,
beta,,0,0,-0.15,
beta,,0,1,-0.43,
beta,,0,2,0.94,
beta,,1,0,0.01,
beta,,1,1,0.49,
beta,,1,2,-1.23,
beta,,2,0,0.14,
beta,,2,1,-0.06,
beta,,2,2,0.3,
nu,0,0,0,0.017695606063246272,
nu,0,0,1,-0.021324148495818707,
nu,0,0,2,0.0030703767063087195,
nu,0,1,0,-0.012665492177350182,
nu,0,1,1,-0.025218493114388785,
nu,0,1,2,-0.014539021241308347,
nu,0,2,0,-0.0003992950181552768,
nu,0,2,1,0.004205997802033845,
nu,0,2,2,0.014589566807124144,
nu,1,0,0,-0.0032062244648566884,
nu,1,0,1,0.020223784149320412,
nu,1,0,2,-0.0048535876491770935,
nu,1,1,0,-0.015460225545916353,
nu,1,1,1,-0.03190362976156613,
nu,1,1,2,-0.013740073880871062,
nu,1,2,0,0.029761486316213448,
nu,1,2,1,0.010399973263578721,
nu,1,2,2,-0.019057712794065595,
nu,2,0,0,-0.0018348348181632945,
nu,2,0,1,0.011126455448966233,
nu,2,0,2,-0.00018892555785021692,
nu,2,1,0,-0.02435375558213739,
nu,2,1,1,-0.02530930616056981,
nu,2,1,2,-0.02239070366054241,
nu,2,2,0,-0.03492809807456482,
nu,2,2,1,0.0208202491406701,
nu,2,2,2,0.013078489934701676,
nu,3,0,0,0.0029643089097620146,
nu,3,0,1,-0.022922184463951945,
nu,3,0,2,0.0374555275371069,
nu,3,1,0,-0.006198299484834932,
nu,3,1,1,0.004803604680756524,
nu,3,1,2,0.007380894736078947,
nu,3,2,0,-0.003744043865951785,
nu,3,2,1,-0.06290592546246271,
nu,3,2,2,-0.002274625551519416,
nu,4,0,0,0.0339240496102879,
nu,4,0,1,-0.013304069610763303,
nu,4,0,2,-0.011744451967197644,
nu,4,1,0,0.05664208335022292,
nu,4,1,1,-0.03922483368286661,
nu,4,1,2,0.004418487435446483,
nu,4,2,0,-0.027618733037175325,
nu,4,2,1,-0.0410950203487605,
nu,4,2,2,0.0009515310770049079,
nu,5,0,0,-0.007711375951867411,
nu,5,0,1,-0.0055006983838432055,
nu,5,0,2,0.017731792601825003,
nu,5,1,0,0.0028933802952086727,
nu,5,1,1,0.021483434365161314,
nu,5,1,2,-0.022575972795998878,
nu,5,2,0,-0.0018753716276626586,
nu,5,2,1,0.019966871589022495,
nu,5,2,2,-0.0016524334930286266,
nu,6,0,0,0.0036506389836034048,
nu,6,0,1,0.019018076249871896,
nu,6,0,2,-0.011574872170156736,
nu,6,1,0,-0.06959270483141976,
nu,6,1,1,0.014989766600389975,
nu,6,1,2,-0.011211104281974471,
nu,6,2,0,0.00148493629469304,
nu,6,2,1,0.03987291454272884,
nu,6,2,2,0.00899730679689198,
nu,7,0,0,0.031062907797039185,
nu,7,0,1,-0.017826912119888794,
nu,7,0,2,-0.008930874646270626,
nu,7,1,0,-0.01402460789131573,
nu,7,1,1,0.006525115925751224,
nu,7,1,2,-0.017477280439801568,
nu,7,2,0,0.007882539997476956,
nu,7,2,1,0.017830341642761927,
nu,7,2,2,0.023463110316638558,
nu,8,0,0,-0.01513149333625144,
nu,8,0,1,0.007373462371515205,
nu,8,0,2,-0.003453073616916935,
nu,8,1,0,0.019502406903621573,
nu,8,1,1,0.008329083932234027,
nu,8,1,2,-0.009973027670843182,
nu,8,2,0,-0.009509396398211245,
nu,8,2,1,0.005726881266353512,
nu,8,2,2,-0.01374895447012442,
nu,9,0,0,-0.011504884092497364,
nu,9,0,1,-0.011837647184329836,
nu,9,0,2,0.012390185259421926,
nu,9,1,0,-0.02974590194260853,
nu,9,1,1,0.027253647616085952,
nu,9,1,2,0.008376382508389568,
nu,9,2,0,0.0068682975619513975,
nu,9,2,1,-0.028000062668953996,
nu,9,2,2,-0.004735035607136784,
nu,10,0,0,0.004142005313979236,
nu,10,0,1,-0.0023454786886382695,
nu,10,0,2,-0.0003487348156918646,
nu,10,1,0,-0.004863426195373019,
nu,10,1,1,-0.008788447272137123,
nu,10,1,2,0.054289320332036706,
nu,10,2,0,0.008626043088966862,
nu,10,2,1,-0.007312586534050147,
nu,10,2,2,-0.01062466371097387,
nu,11,0,0,-0.002681689848647001,
nu,11,0,1,0.027285449048471244,
nu,11,0,2,0.004655410703487739,
nu,11,1,0,0.02212891766641257,
nu,11,1,1,0.01705470959183686,
nu,11,1,2,-0.030390527102371667,
nu,11,2,0,0.02043237173107748,
nu,11,2,1,0.02229838103884213,
nu,11,2,2,-0.011119796067310339,
nu,12,0,0,0.010663374175006124,
nu,12,0,1,-0.0037574949896478915,
nu,12,0,2,0.007987371781196684,
nu,12,1,0,-0.013521748923607932,
nu,12,1,1,-0.004070772344929474,
nu,12,1,2,0.021876887473843087,
nu,12,2,0,0.0010683838855914396,
nu,12,2,1,0.0002685500553853415,
nu,12,2,2,-0.030812355878776343,
nu,13,0,0,-0.00963817510808801,
nu,13,0,1,0.015246418869153622,
nu,13,0,2,0.004335845872352584,
nu,13,1,0,0.016660995251989254,
nu,13,1,1,0.017508373982697112,
nu,13,1,2,0.005262846371670626,
nu,13,2,0,-0.008106577578050278,
nu,13,2,1,-0.00145424707590186,
nu,13,2,2,-0.002797123467372986,
nu,14,0,0,0.015719909187007386,
nu,14,0,1,-0.04113714330176316,
nu,14,0,2,0.026260584833625478,
nu,14,1,0,0.025900606806242045,
nu,14,1,1,0.0018693960935683984,
nu,14,1,2,-0.01297598490267271,
nu,14,2,0,-0.01358191769298056,
nu,14,2,1,-0.001675589447943493,
nu,14,2,2,-0.026166354095143285,
nu,15,0,0,-0.02834794673669319,
nu,15,0,1,0.012383179380410059,
nu,15,0,2,-0.013782064152546125,
nu,15,1,0,-0.008235817717712387,
nu,15,1,1,-0.022257365983817223,
nu,15,1,2,-0.007840499098396014,
nu,15,2,0,-0.00904593488709543,
nu,15,2,1,0.021860523778839014,
nu,15,2,2,-0.0032783644528239786,
nu,16,0,0,0.043952854106466294,
nu,16,0,1,0.0027302367553904694,
nu,16,0,2,0.017884830478974045,
nu,16,1,0,-0.03932837582249426,
nu,16,1,1,0.02972969521278901,
nu,16,1,2,-0.003965109761786323,
nu,16,2,0,-0.03359034374886816,
nu,16,2,1,0.02772640147377642,
nu,16,2,2,-0.002643500207324234,
nu,17,0,0,0.02901018482892495,
nu,17,0,1,0.002336000807334704,
nu,17,0,2,0.000598111321711281,
nu,17,1,0,0.017072390268057243,
nu,17,1,1,0.018169773377570864,
nu,17,1,2,-0.02218097607715075,
nu,17,2,0,-0.012490766491211613,
nu,17,2,1,0.01197223359816052,
nu,17,2,2,0.007614181753900662,
nu,18,0,0,-0.0020606995948182494,
nu,18,0,1,-0.025737802723121372,
nu,18,0,2,0.02829009289772144,
nu,18,1,0,0.008945694904765497,
nu,18,1,1,-0.004138100685130486,
nu,18,1,2,0.02301316729625169,
nu,18,2,0,0.019997379212325528,
nu,18,2,1,0.02589537858091412,
nu,18,2,2,0.016087927080488396,
nu,19,0,0,0.01814418323869535,
nu,19,0,1,-0.0043042706322198865,
nu,19,0,2,0.010228854263869769,
nu,19,1,0,0.016154631286223582,
nu,19,1,1,-0.026654983738808424,
nu,19,1,2,0.014170646529863884,
nu,19,2,0,-0.013369431702466406,
nu,19,2,1,-0.016515650674702564,
nu,19,2,2,0.006024070263072001,
nu,20,0,0,-0.017807938760836334,
nu,20,0,1,0.010485703371241606,
nu,20,0,2,-0.031924239684175015,
nu,20,1,0,-0.006438403103014847,
nu,20,1,1,-0.02121515539454727,
nu,20,1,2,-0.0310319112887969,
nu,20,2,0,-0.006294898376587865,
nu,20,2,1,0.005077291147236818,
nu,20,2,2,-0.020395418309502922,
nu,21,0,0,-0.019556227444039093,
nu,21,0,1,-0.008633728304515642,
nu,21,0,2,-0.04472327828233724,
nu,21,1,0,-0.0053952440046265895,
nu,21,1,1,0.006599616352734705,
nu,21,1,2,-0.03504348727273454,
nu,21,2,0,-0.009900592667209884,
nu,21,2,1,0.009722762240605032,
nu,21,2,2,0.013504478758672056,
nu,22,0,0,0.032420449685661476,
nu,22,0,1,0.006159631636726892,
nu,22,0,2,0.019359048861893102,
nu,22,1,0,0.010324550817561626,
nu,22,1,1,0.027142704943740603,
nu,22,1,2,0.016971495402829717,
nu,22,2,0,-0.009913183101102119,
nu,22,2,1,-0.0010848968834585304,
nu,22,2,2,0.04759364714402242,
nu,23,0,0,0.01515177827652861,
nu,23,0,1,0.012467283046576905,
nu,23,0,2,0.013167870343034016,
nu,23,1,0,-0.001990149213659578,
