guidename,runtime,obs,df,sig,assymmetry,i,time,loss
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,0,1575813879.7631202,0.9636271878256295
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,10,1575813879.878031,2.0731649397014396
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,20,1575813879.9881809,3.3901057134147203
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,30,1575813880.098759,0.887091937081935
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,40,1575813880.2072625,2.8759319525469156
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,50,1575813880.3095539,2.5660606278411975
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,60,1575813880.421707,1.3847141894199766
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,70,1575813880.5207424,2.1923104524341563
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,80,1575813880.6313188,2.546898102045192
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,90,1575813880.740373,1.7432310116363636
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,100,1575813880.8980005,1.735932950142523
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,110,1575813881.0241983,1.3531964190870351
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,120,1575813881.1448867,1.7905029664471586
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,130,1575813881.2655501,0.698001819720127
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,140,1575813881.3640466,1.6820556837863654
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,150,1575813881.47504,1.4980549281238944
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,160,1575813881.5776584,1.3932923872485787
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,170,1575813881.6781783,2.1298105351413366
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,180,1575813881.7889714,1.760587232448429
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,190,1575813881.8897836,1.7144266369861276
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,200,1575813882.0001404,2.180041232882216
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,210,1575813882.1106985,1.5371701427825113
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,220,1575813882.2236445,1.8050777186100662
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,230,1575813882.3256245,1.852256219024106
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,240,1575813882.4271324,1.7248605871374298
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,250,1575813882.5314975,1.5989619141696798
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,260,1575813882.6541328,1.7703924836576443
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,270,1575813882.764604,1.6120535360055843
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,280,1575813882.8651583,1.0465433728685252
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,290,1575813882.9773402,1.4545112785023777
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,300,1575813883.0781589,1.8115255756148625
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,310,1575813883.1968248,1.5039197983625456
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,320,1575813883.309414,1.3539108520202157
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,330,1575813883.4090874,1.8216795275916111
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,340,1575813883.5261245,1.2678887515463302
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,350,1575813883.632203,1.696459270900251
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,360,1575813883.7378345,2.0535344526509802
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,370,1575813883.8380702,3.235326262543473
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,380,1575813883.9397957,3.1157120591992324
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,390,1575813884.0409827,0.8619554027348517
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,400,1575813884.1413424,2.0111171559014043
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,410,1575813884.2627802,1.506338225414055
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,420,1575813884.3627627,1.846927121350945
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,430,1575813884.4639826,1.6660449517320273
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,440,1575813884.563552,1.7950817618452253
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,450,1575813884.7249763,1.7051116209705186
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,460,1575813884.8661942,1.1211584955238907
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,470,1575813885.0367694,1.6452188254712117
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,480,1575813885.1754813,2.494027547880968
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,490,1575813885.2761984,1.727780286301863
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,500,1575813885.3785083,1.8957529440344696
laplace,1575813879.5662074,tensor(0.),tensor(2.),tensor(0.4000),2.0,510,1575813885.4885066,2.1436050904807953
