id,site,mt,mc,nt,nc,sdt,sdc
1,buncombe_c2,0.9095902,0.8470876,66,57,0.2889655,0.3631022
2,buncombe_c3,0.9653636,0.9200913,59,13,0.1844268,0.2822237
3,buncombe_c4,0.9547178,0.8458647,43,13,0.2103833,0.3758224
4,caldwell_c3,0.9883574,0.9122002,78,93,0.1079653,0.2845375
5,caldwell_c4,0.9614379,0.9497894,76,94,0.1938283,0.2195501
6,cctl_c2,0.9660679,0.9393939,30,33,0.1841497,0.2423058
7,clement_c3,0.9534883,1,43,9,0.2130826,0
8,clement_c4,0.9444444,1,18,31,0.2357023,0
9,cleve_c3,0.9351659,1,42,32,0.2492177,0
10,cleve_c4,0.9525368,0.8978927,53,41,0.2146622,0.3065509
11,craven_c1,1,0.7774553,52,65,0,0.419192
12,craven_c2,0.980285,0.6896488,49,55,0.1404598,0.4669014
13,craven_c3,0.9821429,0.8235294,56,51,0.1336306,0.3850134
14,craven_p2,0.9615384,0.5813953,52,86,0.1941839,0.4962238
15,davidson_c1,0.9497856,0.8481482,37,16,0.2213993,0.3706468
16,davidson_c2,0.964939,0.887896,25,21,0.1877268,0.3232855
17,davidson_c3,0.9707661,0.8779864,22,25,0.1724258,0.3340508
18,davidson_c4,0.9480519,0.9065875,36,30,0.2250702,0.2959846
19,granv_c3,0.7358491,0.8684211,53,38,0.4450991,0.34257
20,granv_c4,0.9491525,0.9565217,59,23,0.2215719,0.2085144
21,gtcc_c2,0.8472715,0.9500173,21,39,0.368609,0.2207578
22,lee_c2,0.9140849,1,42,17,0.2836356,0
23,mcdowell_c1,1,0.5722544,34,11,0,0.5189
24,mcdowell_c2,0.9518859,0.880628,46,29,0.216372,0.3299647
25,mcdowell_c3,1,1,29,27,0,0
26,mcdowell_c4,0.9372156,1,25,28,0.2475767,0
27,nashrock_c1,0.9245283,0.8076923,53,26,0.2666788,0.4019185
28,nashrock_c2,0.9684162,0.5635649,63,26,0.1762941,0.5057647
29,randolph_c1,0.9793814,1,97,18,0.1428418,0
30,rocking_c2,0.6979167,0.8064516,96,31,0.4615715,0.4016097
31,rocking_c3,0.9673913,0.7857143,92,14,0.1785834,0.4258153
32,rocking_c4,0.9892473,1,93,40,0.1036952,0
33,rowan_c3,0.95,0.75,80,8,0.21932,0.4629101
34,rowan_c4,0.96875,1,64,10,0.1753681,0
35,ruthe_c3,0.9609962,0.9725563,40,42,0.1960704,0.1653528
36,ruthe_c4,0.9676738,0.9810888,41,42,0.1790621,0.1378625
37,ruthe_p1,0.9705882,1,34,32,0.1714986,0
38,ruthe_p2,0.948718,0.962963,39,27,0.2234559,0.1924501
39,scotland_c3,1,0.971537,29,23,0,0.1700288
40,vance_c2,0.7882217,0.7893702,77,91,0.4112477,0.410015
41,vance_c3,0.7700184,0.7375762,74,114,0.4236932,0.4418941
42,vance_c4,0.8603513,0.8035431,63,65,0.3494063,0.40041
43,xcreek_c3,1,0.9590551,39,25,0,0.2022488
44,xcreek_c4,0.9511174,1,46,27,0.2180052,0
